Taxa	Origin P-value	16S P-value	Interaction P-value	Participant P-value	Origin p-val adj	16S p-val adj	Interaction p-val adj	Participantp-val adj
Desulfovibrio vulgaris	0.0253	0.519	0.847	0.2	0.15686	0.65472	0.986	0.283227272727273
[Clostridium] sticklandii	0.142	0.0411	0.801	0.82	0.400181818181818	0.0822	0.986	0.959245283018868
[Eubacterium] siraeum	0.705	1.83e-06	0.816	0.0425	0.794440677966102	9.455e-06	0.986	0.0798484848484849
Escherichia coli	0.668	1.19e-17	0.341	0.481	0.794440677966102	2.45933333333333e-16	0.986	0.60016
Odoribacter splanchnicus	0.194	0.374	0.287	0.000363	0.447777777777778	0.504086956521739	0.986	0.0015004
Faecalibacterium prausnitzii	0.0379	0.227	0.75	8.41e-05	0.195816666666667	0.380378378378378	0.986	0.000474018181818182
Prevotella dentalis	0.704	0.0377	0.000156	0.00428	0.794440677966102	0.0779133333333333	0.002418	0.0106144
Olsenella uli	0.819	1.86e-26	0.467	0.708	0.832426229508197	5.766e-25	0.986	0.844153846153846
Clostridium sp.	0.0188	0.12	0.392	0.146	0.129511111111111	0.206666666666667	0.986	0.232102564102564
Porphyromonas asaccharolytica	3.2e-05	6.78e-09	0.694	0.175	0.000992	8.4072e-08	0.986	0.258333333333333
Slackia heliotrinireducens	0.255	9.88e-07	0.495	1	0.4940625	6.1256e-06	0.986	1
Roseburia intestinalis	0.0562	3.41e-07	0.0845	0.156	0.257482352941176	2.34911111111111e-06	0.582111111111111	0.23590243902439
Oscillibacter valericigenes	0.171	0.241	0.512	0.000993	0.42408	0.393210526315789	0.986	0.00342033333333333
Bacteroides fragilis	3.4e-06	1.23e-05	1.65e-16	0.00022	0.0002108	5.084e-05	1.023e-14	0.000974285714285714
Coprococcus sp.	0.272	9.09e-08	0.000421	1	0.496	9.393e-07	0.0052204	1
Unclassified NA	0.236	0.0794	0.609	1.17e-05	0.4898	0.144788235294118	0.986	9.0675e-05
Selenomonas ruminantium	0.721	0.294	0.161	0.0345	0.794440677966102	0.423906976744186	0.791692307692308	0.0733666666666667
Mobiluncus curtisii	0.326	0.289	0.166	0.32	0.5363	0.423906976744186	0.791692307692308	0.422127659574468
Alistipes shahii	0.0665	0.788	0.982	0.0189	0.257482352941176	0.879071428571429	0.986	0.0434
Prevotella ruminicola	0.288	0.971	2.43e-05	2.12e-07	0.510171428571428	0.971	0.0005022	3.286e-06
Ruminococcus albus	0.446	0.793	0.285	0.000186	0.629234042553191	0.879071428571429	0.986	0.000887076923076923
Atopobium parvulum	0.269	2.51e-07	0.52	0.0554	0.496	1.94525e-06	0.986	0.0981371428571429
Adlercreutzia equolifaciens	0.167	0.0028	0.871	0.000904	0.42408	0.00667692307692308	0.986	0.00332247058823529
