Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Clostridium_XVIII	2.60864518541211	0.743	2.56704135726949	2.567	0.454	0.0047	2.76e-11	0.582051282051282	0.1824	1.17205555555556e-10	0.021	0.417
Clostridium_XlVa	3.19110074546216	0.414	3.39804364315748	3.398	1.02e-07	0.0733	<2e-16	7.28571428571429e-07	0.4997	NA	0.064	0.552
Clostridium_XlVb	2.6107381450975	0.544	2.70949271957557	2.709	0.102	0.561	4.28e-15	0.175862068965517	0.812430379746835	5.26816666666667e-14	0.007	0.478
Clostridium_sensu_stricto	1.4155270373539	1.149	1.01922989823617	1.019	0.000126	0.701	<2e-16	6e-04	0.869869565217391	NA	0.031	0.531
Collinsella	2.24332774798438	1.128	2.08291633710804	2.083	0.0529	0.997	<2e-16	0.11	0.997	NA	0.005	0.67
Coprobacillus	1.31184105879613	0.935	1.62591181323546	1.626	0.000828	0.288	<2e-16	0.00306666666666667	0.7752	NA	0.026	0.512
Coprococcus	2.79814103489275	0.801	2.8186795011415	2.819	0.596	0.507	<2e-16	0.697727272727273	0.801123287671233	NA	0.001	0.625
Corynebacterium	0.10469664298147	0.258	0.830527794857671	0.831	7.87e-15	0.961	0.338	3.935e-13	0.990375	0.342694444444444	0.223	0.264
Desulfovibrio	0.879323159057551	1.07	0.763671112724398	0.764	0.119	0.605	<2e-16	0.198333333333333	0.817655172413793	NA	0.003	0.729
Dialister	1.4197366939501	1.379	2.09753892228951	2.098	1.33e-09	0.509	<2e-16	1.20909090909091e-08	0.801123287671233	NA	0.073	0.582
Dorea	3.15837157207004	0.439	2.91451479164327	2.915	1.01e-06	0.0187	2.32e-06	5.94117647058824e-06	0.3819	4.98117647058823e-06	0.086	0.344
Eggerthella	1.60491664555168	0.876	1.60988864980803	1.61	0.843	0.601	1.19e-14	0.887368421052631	0.817655172413793	1.085875e-13	0.001	0.467
Enterobacter	0.508953080211361	0.818	0.78358763703631	0.784	0.00183	0.425	2.43e-12	0.00571875	0.796161290322581	1.47825e-11	0.025	0.439
Enterococcus	0.295582219376577	0.673	0.386169825235915	0.386	0.0892	0.342	<2e-16	0.159285714285714	0.7752	NA	0.006	0.644
Erysipelotrichaceae_incertae_sedis	2.15174996487089	0.911	2.33716913024752	2.337	0.00424	0.741	<2e-16	0.0108717948717949	0.876742268041237	NA	0.013	0.648
Escherichia_Shigella	1.00838475855384	0.987	1.8355118785313	1.836	1.52e-13	0.991	3.83e-13	3.8e-12	0.997	3.10655555555556e-12	0.131	0.515
Ethanoligenens	0.953498084462802	0.813	0.699410873910001	0.699	0.000496	0.621	<2e-16	0.001984	0.817655172413793	NA	0.026	0.512
Eubacterium	0.382292949880913	0.608	0.307902655231598	0.308	0.275	0.322	1.65e-06	0.404411764705882	0.7752	3.88548387096774e-06	0.006	0.299
Faecalibacterium	3.578578260509	0.724	3.63902239303591	3.639	0.441	0.333	<2e-16	0.572727272727273	0.7752	NA	0.002	0.736
Finegoldia	0.306566928398801	0.524	2.08364078546124	2.084	<2e-16	0.64	0.21	NA	0.819775280898876	0.219	0.56	0.591
Flavonifractor	2.6820242805492	0.511	2.67655736259231	2.677	0.924	0.961	1.33e-05	0.949	0.990375	2.42725e-05	0	0.258
Fusibacter	1.38585706303339	0.983	0.917692476290249	0.918	2.01e-10	0.00123	<2e-16	2.5125e-09	0.14022	NA	0.075	0.683
Fusobacterium	0.346765689047877	0.708	0.996185636150521	0.996	1.47e-11	0.462	5.04e-08	2.1e-10	0.801123287671233	1.36266666666667e-07	0.124	0.44
Gemella	0.702744357626619	0.71	0.512159164333612	0.512	0.0493	0.746	0.276	0.104893617021277	0.876742268041237	0.283774647887324	0.016	0.075
Gemmiger	0.952294162509916	0.89	0.883497425750579	0.883	0.0765	0.352	<2e-16	0.142407407407407	0.7752	NA	0.004	0.754
Geobacillus	1.64108745199689	0.65	3.12815089709108	3.128	<2e-16	0.34	0.344	NA	0.7752	0.344	0.475	0.502
Gordonibacter	1.42301954142501	0.932	0.860436711023219	0.86	7.16e-10	0.219	1.61e-09	7.16e-09	0.734294117647059	4.7012e-09	0.106	0.43
Granulicatella	0.789141780236709	0.674	0.266339313566318	0.266	3.16e-13	0.526	0.00497	6.32e-12	0.810324324324324	0.0067187037037037	0.181	0.313
Haemophilus	0.548325112445859	0.803	0.494636428955119	0.495	0.51	0.17	2.33e-10	0.62962962962963	0.6555	7.08708333333333e-10	0.006	0.386
Hallella	0.22981188598113	0.657	0.682307475504454	0.682	1.23e-06	0.138	2.89e-11	6.83333333333333e-06	0.582666666666667	1.17205555555556e-10	0.065	0.44
Hespellia	0.272628455618265	0.423	0.281447564777471	0.281	0.816	0.548	3.91e-05	0.868085106382979	0.812430379746835	6.63790697674419e-05	0.001	0.244
Holdemania	1.46263194397761	0.736	1.50203786723448	1.502	0.603	0.661	1.14e-07	0.697727272727273	0.837266666666667	2.97214285714286e-07	0.001	0.318
Howardella	0.760253827316881	1.08	0.778053713981452	0.778	0.705	0.182	<2e-16	0.766304347826087	0.6555	NA	0.002	0.804
Hydrogenoanaerobacterium	0.72435668086105	0.683	0.66432290327754	0.664	0.399	0.64	3.61e-11	0.532	0.819775280898876	1.387e-10	0.002	0.401
Klebsiella	0.38018080613388	0.882	0.309137248460851	0.309	0.322	0.283	<2e-16	0.454929577464789	0.7752	NA	0.003	0.648
Lachnobacterium	0.285685902468389	0.399	0.292678475576546	0.293	0.872	0.333	0.0572	0.908333333333333	0.7752	0.0684524590163934	0.004	0.11
Lachnospiracea_incertae_sedis	4.09637151822629	0.304	3.91103163457781	3.911	1.13e-05	0.147	8.4e-06	5.94736842105263e-05	0.5985	1.70333333333333e-05	0.064	0.33
Lactobacillus	0.892001082324991	0.839	0.946710575091591	0.947	0.562	0.624	1.49e-05	0.669047619047619	0.817655172413793	2.65292682926829e-05	0.002	0.258
Lactococcus	1.04927651081502	0.882	0.735855313096	0.736	0.000977	0.0048	0.000231	0.00336896551724138	0.1824	0.000358787234042553	0.06	0.263
Lactonifactor	0.602663978099414	0.537	0.500439645501894	0.5	0.0743	0.108	0.000468	0.142407407407407	0.53808	0.000697224489795918	0.019	0.22
Marvinbryantia	0.433882533441874	0.631	0.570599460805055	0.571	0.0452	0.409	3.24e-12	0.0982608695652174	0.796161290322581	1.81938461538462e-11	0.011	0.428
Megasphaera	0.341839091940215	0.791	0.547018523639373	0.547	0.00225	0.488	<2e-16	0.00661764705882353	0.801123287671233	NA	0.015	0.648
Microbacterium	0.28898511372277	0.583	0.313239870821173	0.313	0.614	0.0737	<2e-16	0.697727272727273	0.4997	NA	0.007	0.525
Mobiluncus	0.0542928505218138	0.228	0.555301484624044	0.555	3.13e-10	0.173	0.16	3.47777777777778e-09	0.6555	0.171764705882353	0.152	0.219
Mogibacterium	0.717898570618167	0.814	0.680936203906866	0.681	0.466	0.308	8.1e-15	0.5825	0.7752	8.44714285714286e-14	0.004	0.473
Murdochiella	0.124748355865618	0.343	1.2625421121488	1.263	<2e-16	0.484	0.00264	NA	0.801123287671233	0.00370615384615385	0.314	0.434
Negativicoccus	0.0133594990110073	0.106	0.751480516070302	0.751	<2e-16	0.544	0.0606	NA	0.812430379746835	0.0713516129032258	0.277	0.353
Odoribacter	2.19607737872319	1.019	2.17005297738075	2.17	0.632	0.807	<2e-16	0.702222222222222	0.901941176470588	NA	0	0.667
Oribacterium	0.275317008068655	0.416	0.201489917146359	0.201	0.122	0.184	8.92e-05	0.2	0.6555	0.000147990909090909	0.013	0.24
Oscillibacter	3.28494293571284	0.675	3.3027399325813	3.303	0.698	0.608	<2e-16	0.766304347826087	0.817655172413793	NA	0.001	0.512
Parabacteroides	3.37466503360347	0.814	3.33226692526981	3.332	0.463	0.801	<2e-16	0.5825	0.901941176470588	NA	0.001	0.744
Paraprevotella	1.91191647498926	1.044	1.79668503634232	1.797	0.111	0.603	<2e-16	0.188135593220339	0.817655172413793	NA	0.004	0.677
Parasutterella	2.16523999577518	1.246	2.34487268964311	2.345	0.0342	0.0488	<2e-16	0.0777272727272727	0.4997	NA	0.008	0.79
Parvimonas	0.153536761755823	0.34	0.454622198861387	0.455	0.000262	0.431	0.00337	0.00119090909090909	0.796161290322581	0.00464169811320755	0.048	0.209
Peptococcus	0.15447675169775	0.368	0.619446347340905	0.619	5.06e-12	0.247	1.84e-06	8.43333333333333e-11	0.7752	4.1975e-06	0.145	0.388
Peptoniphilus	0.573078479470016	0.679	2.51219539628231	2.512	<2e-16	0.133	0.00974	NA	0.582666666666667	0.0122589655172414	0.587	0.648
Peptostreptococcus	0.18322779859289	0.445	1.01416426422995	1.014	3.75e-15	0.287	0.000131	3.75e-13	0.7752	0.000212511111111111	0.198	0.378
Phascolarctobacterium	2.68964086538737	1.278	2.42701966798243	2.427	0.000703	0.702	<2e-16	0.00270384615384615	0.869869565217391	NA	0.013	0.748
Porphyromonas	0.45737837688778	0.644	1.80737723074683	1.807	<2e-16	0.216	2.18e-06	NA	0.734294117647059	4.82242424242424e-06	0.354	0.537
Prevotella	1.7250942256215	1.244	2.83710971488249	2.837	<2e-16	0.392	<2e-16	NA	0.796161290322581	NA	0.187	0.663
Propionibacterium	0.163995474390896	0.394	0.236807469367255	0.237	0.0926	0.102	2.93e-05	0.162456140350877	0.53808	5.09261904761905e-05	0.017	0.26
Pseudoflavonifractor	2.44332857472997	0.532	2.52620840460415	2.526	0.141	0.0786	6.75e-06	0.223809523809524	0.4997	1.40785714285714e-05	0.016	0.279
Ralstonia	0.426765734065789	0.62	0.496371649024962	0.496	0.323	0.353	0.000161	0.454929577464789	0.7752	0.0002555	0.006	0.227
Robinsoniella	0.272254589158476	0.496	0.376023444235786	0.376	0.0769	0.108	9.89e-06	0.142407407407407	0.53808	1.95127027027027e-05	0.018	0.275
Roseburia	3.43521867678641	0.417	3.15908740382579	3.159	4.67e-08	0.0669	8.43e-11	3.59230769230769e-07	0.4997	2.79722727272727e-10	0.084	0.449
Rothia	0.429225887244028	0.625	0.24139865646374	0.241	0.00134	0.724	2.45e-09	0.00432258064516129	0.876742268041237	6.87884615384615e-09	0.028	0.378
Ruminococcus	2.65505607407806	1.185	2.5530610289255	2.553	0.189	0.969	<2e-16	0.290769230769231	0.990375	NA	0.003	0.647
Salmonella	0.142441563266868	0.451	0.390680206158555	0.391	2.33e-05	0.711	4.61e-12	0.0001165	0.871548387096774	2.24353333333333e-11	0.045	0.445
Slackia	0.604204074833679	0.936	0.446833226654696	0.447	0.00921	0.353	<2e-16	0.023025	0.7752	NA	0.009	0.715
Solobacterium	0.493784925378454	0.658	0.513587705763116	0.514	0.769	0.43	5.76e-12	0.826881720430108	0.796161290322581	2.628e-11	0.002	0.417
Sporobacter	0.52554109734108	0.648	0.357039209566385	0.357	0.00263	0.949	<2e-16	0.00751428571428571	0.990375	NA	0.019	0.523
Streptococcus	2.75057398340394	0.777	2.8081275856611	2.808	0.339	0.778	3.75e-12	0.460810810810811	0.88692	1.95535714285714e-11	0.002	0.423
Streptophyta	0.753782448900543	0.759	0.251711260714973	0.252	1.52e-09	0.873	0.177	1.26666666666667e-08	0.947828571428571	0.187260869565217	0.137	0.201
Subdoligranulum	3.01215139661049	0.956	2.9017054735971	2.902	0.039	0.513	<2e-16	0.0866666666666667	0.801123287671233	NA	0.005	0.744
Sutterella	0.950223662722265	1.254	1.04385659054278	1.044	0.135	0.486	<2e-16	0.217741935483871	0.801123287671233	NA	0.003	0.743
Syntrophococcus	2.253140425598	0.834	2.22028707394419	2.22	0.537	0.0284	<2e-16	0.65421686746988	0.462514285714286	NA	0.008	0.629
TM7_genera_incertae_sedis	0.891515982628505	0.704	0.315884592915335	0.316	1.14e-13	0.098	0.0302	3.8e-12	0.53808	0.0367433333333333	0.2	0.298
Thermus	0.207716066601939	0.401	1.58312491833903	1.583	<2e-16	0.0789	0.112	NA	0.4997	0.125784615384615	0.478	0.524
Turicibacter	0.831200067236486	0.978	0.556373014828478	0.556	0.000862	0.0113	4.87e-13	0.00307857142857143	0.32205	3.5551e-12	0.041	0.461
Veillonella	1.36021637046156	0.955	1.0627949889865	1.063	0.000324	0.0754	<2e-16	0.00140869565217391	0.4997	NA	0.029	0.591
