wgs	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
K05844: ribosomal protein S6 modification protein	0.549	0.482	0.548	0.494	0.078	0.312	0.000127	1	0.000868	0.00509	0.952	0.186	0.000246587548638132	1	0.00129848021626935	0.00763311899482631	0.997423222260392	0.436461835003855	0.121	0.24
K05845: osmoprotectant transport system substrate-binding protein	0.997	0.349	0.917	0.518	0	0	7.71e-16	0.562	2.84e-14	1.49e-12	0.0445	0.416	5.01149538461539e-14	0.852453027660105	8.48839406207827e-14	4.92646931015752e-12	0.9956866689993	0.727641379310345	0.434	0.48
K05846: osmoprotectant transport system permease protein	1.083	0.401	0.963	0.569	0	0	1.17e-14	0.375	3.01e-14	4.37e-11	0.204	0.749	2.47924210526316e-13	0.661247103128621	8.48839406207827e-14	1.30393088235294e-10	0.9956866689993	1	0.403	0.423
K05847: osmoprotectant transport system ATP-binding protein	1.268	0.275	1.178	0.37	0.027	0.057	<2e-16	0.301	1.67e-15	1.89e-15	0.531	0.807	NA	0.57077476635514	6.84531313131313e-15	1.72222005988024e-14	0.9956866689993	1	0.654	0.662
K01365: cathepsin L	0.263	0.285	0.38	0.35	0.77	0.572	5.24e-06	0.242	3.62e-07	0.00092	0.0715	0.27	1.30087562189055e-05	0.489874958430329	6.82196284829721e-07	0.00152881244881245	0.9956866689993	0.555796415285763	0.182	0.24
K00502: tryptophan 5-monooxygenase	0.04	0.155	0.06	0.205	0.239	0.374	0.00178	0.882	0.000954	0.0143	0.894	1	0.00274778035576179	1	0.00142084609738194	0.0200654910096819	0.9956866689993	1	0.087	0.087
K00500: phenylalanine-4-hydroxylase	0.019	0.097	0.191	0.352	0.405	0.485	3.04e-08	0.0025	3.88e-08	0.0129	0.601	1	1.10124137931034e-07	0.0178819036427732	7.71059745347698e-08	0.0182567542431993	0.9956866689993	1	0.23	0.23
K04468: nemo like kinase	0.018	0.061	0.04	0.098	0.145	0.298	0.000634	0.676	0.000335	0.0144	0.656	0.242	0.00106700168634064	0.940844520547945	0.0005193950585838	0.0201918451969592	0.9956866689993	0.516317560462671	0.104	0.157
K01101: 4-nitrophenyl phosphatase	1.074	0.35	0.959	0.459	0	0	<2e-16	0.29	1.48e-14	7.92e-14	0.788	7.37e-06	NA	0.556854889589905	4.93360350492881e-14	2.87643436754177e-13	0.9956866689993	0.000801092678571429	0.542	0.73
K04460: protein phosphatase 5	0.57	0.291	0.702	0.263	0.078	0.204	9.14e-11	0.0746	3.12e-09	1.47e-10	0.949	0.177	5.36370044052863e-10	0.207441845591594	6.55781767955801e-09	4.23869729985789e-10	0.997423222260392	0.422509411764706	0.286	0.373
K01103: fructose-2,6-bisphosphatase	0.158	0.236	0.333	0.433	0.497	0.599	0.000595	0.0436	0.000828	0.273	0.941	0.526	0.00100773865082732	0.140271247357294	0.00124047157272951	0.309796979865772	0.99649739039666	0.842125723303525	0.105	0.141
K01104: protein-tyrosine phosphatase	2.371	0.261	2.357	0.162	2.746	0.069	1.33e-07	0.962	4.55e-08	1.04e-06	0.549	1	4.40976744186047e-07	1	9.02144951140065e-08	2.30955125866472e-06	0.9956866689993	1	0.213	0.213
K05592: ATP-dependent RNA helicase DeaD	1.997	0.274	1.824	0.407	0.414	0.43	<2e-16	0.0356	1.67e-15	1.67e-15	0.642	0.348	NA	0.120187021630616	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.651376383763838	0.705	0.727
K05590: ATP-dependent RNA helicase SrmB	0.424	0.271	0.378	0.346	0.024	0.044	2.36e-08	0.714	7.69e-07	0.000187	0.677	0.0101	8.70713493530499e-08	0.966663256227758	1.42103916211293e-06	0.000337965855106888	0.9956866689993	0.0686146205357143	0.219	0.408
K05591: ATP-independent RNA helicase DbpA	1.244	0.287	1.083	0.358	0.119	0.281	<2e-16	0.0361	1.67e-15	2.79e-14	0.336	0.524	NA	0.121403701657459	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.840028443508033	0.575	0.597
K05596: LysR family transcriptional regulator, chromosome initiation	0.358	0.398	0.284	0.456	0.09	0.36	0.00184	0.67	0.0407	0.283	0.291	0.00847	0.00282946070878274	0.938616800920598	0.0505284315725066	0.320428013392857	0.9956866689993	0.0615237350835322	0.089	0.32
K05597: glutamin-(asparagin-)ase	0.48	0.248	0.471	0.286	0	0	1.94e-11	0.984	5.58e-11	2.06e-08	0.696	0.0227	1.30378451178451e-10	1	1.2826835347432e-10	5.13481572481572e-08	0.9956866689993	0.118911273666093	0.301	0.44
K05595: multiple antibiotic resistance protein	1.842	0.404	1.543	0.591	0.157	0.428	<2e-16	0.00645	1.67e-15	2.94e-14	0.861	0.165	NA	0.0349609528049866	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.404655519742143	0.581	0.631
K11610: beta-ketoacyl ACP reductase	0.185	0.106	0.159	0.12	0	0	1.8e-11	0.484	2.18e-09	7.71e-06	0.62	0.0077	1.22412265758092e-10	0.782083355455269	4.62518647612409e-09	1.59087355932203e-05	0.9956866689993	0.0589558490566038	0.298	0.496
K14541	0.053	0.046	0.061	0.064	0.001	0.004	6.17e-05	0.723	0.000245	0.000289	0.211	0.444	0.00012637578245254	0.971930432862191	0.000384260499871167	0.00051182513820192	0.9956866689993	0.757463004484305	0.138	0.194
K14540	1.505	0.437	1.432	0.437	0.013	0.052	<2e-16	0.693	1.67e-15	1.9e-14	0.962	0.123	NA	0.953286101694915	6.84531313131313e-15	1.05139090909091e-13	0.998386055843504	0.341093849658314	0.566	0.647
K02044: phosphonate transport system substrate-binding protein	0.911	0.436	0.897	0.478	0	0	5.27e-13	0.987	1.26e-12	9.19e-10	0.899	0.102	5.52174278215223e-12	1	3.09383622428399e-12	2.51753060306031e-09	0.9956866689993	0.301834710743802	0.346	0.457
K04333: LuxR family transcriptional regulator, csgAB operon transcriptional	0.294	0.323	0.312	0.4	0	0	1.74e-05	0.963	0.00272	0.00696	0.816	0.0131	3.91108108108108e-05	1	0.00388380014074595	0.0102431141199226	0.9956866689993	0.0813670408163265	0.14	0.329
K05578: NADH dehydrogenase I subunit 6	0.253	0.219	0.235	0.266	0	0	0.000186	0.917	8.22e-05	0.00209	0.178	1	0.00035057223796034	1	0.000134214431330472	0.00332336206896552	0.9956866689993	1	0.128	0.128
K05336: solute carrier family 6 (neurotransmitter transporter), invertebrate	0.072	0.049	0.112	0.144	0.067	0.115	0.0742	0.0687	0.979	0.211	0.687	1	0.0861566026759744	0.196235053965275	0.98809036644006	0.244779302458548	0.9956866689993	1	0.037	0.037
K05337: ferredoxin	1.21	0.572	1.029	0.678	0.127	0.507	7.02e-09	0.324	7.62e-10	8.43e-06	0.838	1	2.81929979879276e-08	0.602194809160305	1.65476061362826e-09	1.73063777403035e-05	0.9956866689993	1	0.247	0.247
K02106: short-chain fatty acids transporter	0.69	0.402	0.756	0.532	0.076	0.303	6.62e-07	0.745	8.08e-07	2.61e-06	0.307	0.818	1.92056976744186e-06	0.987977124183007	1.49039272727273e-06	5.62175159235669e-06	0.9956866689993	1	0.195	0.213
K02455: general secretion pathway protein F	0.668	0.334	0.686	0.429	0.164	0.451	7.62e-10	0.973	3.22e-06	3.61e-05	0.0857	0.000153	3.71870904645477e-09	1	5.76135802469136e-06	6.97368137099334e-05	0.9956866689993	0.00475158673469388	0.242	0.508
K05332: solute carrier family 6 (neurotransmitter transporter), member 17	0.073	0.067	0.122	0.16	0.086	0.196	0.113	0.091	0.899	0.538	0.502	1	0.127897930252339	0.239687148420597	0.918002516356316	0.583328464552904	0.9956866689993	1	0.034	0.034
K05333: solute carrier family 6 (neurotransmitter transporter), member 18	0.054	0.042	0.109	0.141	0.089	0.149	0.00932	0.00954	0.294	0.738	0.183	1	0.0125651604187774	0.0469442037186742	0.323145178764897	0.778545233968804	0.9956866689993	1	0.076	0.076
K02103: GntR family transcriptional regulator, arabinose operon	0.898	0.326	0.806	0.386	0.108	0.299	1.17e-12	0.414	5.64e-14	2.27e-09	0.786	1	1.10156603773585e-11	0.701759398496241	1.47026466809422e-13	6.07896612406511e-09	0.9956866689993	1	0.348	0.348
K10561: rhamnose transport system permease protein	0.136	0.236	0.144	0.17	0.037	0.143	0.137	0.982	0.213	0.259	0.735	0.194	0.153495369071008	1	0.239389032496307	0.295286195916838	0.9956866689993	0.450029725609756	0.028	0.124
K02108: F-type H+-transporting ATPase subunit a	1.992	0.244	1.901	0.254	1.14	0.559	<2e-16	0.328	2.3e-14	4.9e-13	0.581	1	NA	0.606296993622836	7.29551849921834e-14	1.67187780269058e-12	0.9956866689993	1	0.446	0.446
K02109: F-type H+-transporting ATPase subunit b	1.899	0.332	1.595	0.607	0.285	0.619	<2e-16	0.00396	1.67e-15	3.03e-14	0.247	0.256	NA	0.0246719754350051	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.537149948293692	0.582	0.614
K05339: holin-like protein LrgB	1.461	0.407	1.32	0.59	0.202	0.556	2e-15	0.334	2.96e-14	8.92e-12	0.709	0.973	7.39259259259259e-14	0.614216918429003	8.48839406207827e-14	2.78584094407388e-11	0.9956866689993	1	0.416	0.418
K02193: heme exporter ATP-binding protein CcmA	0.617	0.315	0.554	0.383	0.017	0.04	1.24e-09	0.621	1.75e-10	6.09e-07	0.518	0.75	5.74922183507549e-09	0.902800812037258	3.90478372434018e-10	1.38011280714818e-06	0.9956866689993	1	0.271	0.289
K02191: precorrin-8W decarboxylase	1.116	0.353	0.965	0.485	0	0	<2e-16	0.133	1.3e-14	1.53e-13	0.797	0.676	NA	0.319357396449704	4.39128745837958e-14	5.38019064124783e-13	0.9956866689993	0.982289806636429	0.485	0.51
K03851: taurine-pyruvate aminotransferase	0.077	0.151	0.032	0.054	0	0	0.0426	0.234	0.0707	0.707	0.833	0.987	0.0511610108303249	0.478293485560779	0.0845483104125737	0.748176112656467	0.9956866689993	1	0.044	0.047
K03852: sulfoacetaldehyde acetyltransferase	0.054	0.12	0.049	0.074	0.002	0.006	0.215	0.977	0.158	0.319	0.11	0.632	0.233291655341125	1	0.181119774011299	0.358455418128115	0.9956866689993	0.944045153374233	0.038	0.104
K03855: ferredoxin like protein	0.356	0.5	0.446	0.535	0	0	0.00294	0.658	0.0185	0.0101	0.364	0.0634	0.00435814333457111	0.930154667905248	0.0240464445868033	0.0145133852691218	0.9956866689993	0.22634357771261	0.079	0.234
K03857: phosphatidylinositol glycan, class A	0.523	0.266	0.44	0.341	0	0	2.84e-12	0.32	6.91e-11	1.54e-06	0.0571	0.00906	2.39688794926004e-11	0.595851942490058	1.57768829707427e-10	3.35984946236559e-06	0.9956866689993	0.0636622018348624	0.334	0.489
K03856: 3-deoxy-7-phosphoheptulonate synthase	1.712	0.347	1.472	0.484	0.174	0.435	<2e-16	0.0127	1.67e-15	2.34e-14	0.915	0.48	NA	0.0573053372868792	6.84531313131313e-15	1.22367525773196e-13	0.9956866689993	0.794820457018498	0.612	0.64
K02196: cytochrome c-type biogenesis protein CcmD	0.321	0.72	2.108	0.926	3.73	0.11	<2e-16	1.1e-14	1.67e-15	1.82e-10	0.62	0.357	NA	1.48793333333333e-12	6.84531313131313e-15	5.20598684210526e-10	0.9956866689993	0.661308277541083	0.724	0.748
K13018	0.762	0.457	0.524	0.463	0	0	1.35e-08	0.031	3.91e-09	0.000532	0.77	0.226	5.18691049085659e-08	0.109516540917005	8.19001032346868e-09	0.000912449704142012	0.9956866689993	0.494664509169364	0.243	0.337
K13019	0.684	0.267	0.605	0.358	0.031	0.125	5.22e-13	0.385	4.96e-14	2.2e-09	0.626	0.436	5.50475789473684e-12	0.671488538681948	1.30079793192589e-13	5.90189510797708e-09	0.9956866689993	0.748007891770011	0.36	0.401
K13010	1.463	0.312	1.372	0.452	0.127	0.347	<2e-16	0.443	1.67e-15	1.17e-14	0.622	0.25	NA	0.738778356164384	6.84531313131313e-15	7.25233197556008e-14	0.9956866689993	0.527286902286902	0.602	0.644
K13012	1.516	0.257	1.327	0.471	0.102	0.408	<2e-16	0.0206	1.67e-15	5e-15	0.463	1	NA	0.0813706683971447	6.84531313131313e-15	3.5430733410943e-14	0.9956866689993	1	0.645	0.645
K13013	1.22	0.263	1.046	0.363	0.076	0.221	<2e-16	0.0121	1.67e-15	1.74e-14	0.346	0.041	NA	0.0552119190404798	6.84531313131313e-15	9.82502782931354e-14	0.9956866689993	0.172830332409972	0.634	0.708
K13015	0.749	0.259	0.699	0.33	0.041	0.166	<2e-16	0.657	2.96e-14	3.1e-12	0.975	0.0374	NA	0.92960460251046	8.48839406207827e-14	9.99454449152542e-12	0.998386055843504	0.161915931721195	0.428	0.544
K13016	0.406	0.408	0.229	0.296	0	0	2.54e-05	0.0655	0.000194	0.117	0.486	0.00043	5.53174031642117e-05	0.189315527065527	0.000307840980187695	0.140997624232825	0.9956866689993	0.00893313993174061	0.13	0.456
K13017	1.337	0.249	1.287	0.424	0.063	0.254	<2e-16	0.7	1.67e-15	1.67e-15	0.355	0.0736	NA	0.95815156285136	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.246697797356828	0.668	0.721
K04889: potassium voltage-gated channel, Shaw-related subfamily C, member 3	0.009	0.024	0.017	0.038	0.07	0.164	0.00128	0.803	0.000655	0.0148	0.371	1	0.00202046658758403	1	0.000991787313432836	0.0207050333256723	0.9956866689993	1	0.096	0.096
K04888: potassium voltage-gated channel, Shaw-related subfamily C, member 2	0.038	0.095	0.042	0.096	0.136	0.265	0.0166	0.988	0.0122	0.0477	0.379	0.858	0.0213420933977456	1	0.0162426509186352	0.0613977373651935	0.9956866689993	1	0.062	0.073
K04883: potassium voltage-gated channel, Shaker-related subfamily A, beta	0.504	0.253	0.49	0.353	0.044	0.176	1.1e-09	0.966	8.13e-09	1.34e-06	0.273	0.0602	5.15399061032864e-09	1	1.67413092016238e-08	2.9403677000721e-06	0.9956866689993	0.218768597014925	0.265	0.389
K04882: potassium voltage-gated channel, Shaker-related subfamily A, beta	0.461	0.239	0.395	0.331	0.042	0.17	4.41e-08	0.439	2.39e-08	5.29e-05	0.225	0.43	1.56904812834225e-07	0.734926567656766	4.79180830039526e-08	0.000100562866958151	0.9956866689993	0.741896258503401	0.233	0.276
K04881: potassium voltage-gated channel, Shaker-related subfamily A, member	0.121	0.115	0.1	0.101	0.151	0.191	0.462	0.699	0.639	0.382	0.323	0.149	0.479413569014817	0.957428667866787	0.667168610634648	0.424622717311907	0.9956866689993	0.381879157894737	0.015	0.164
K04880: potassium voltage-gated channel, Shaker-related subfamily A, member	0.038	0.05	0.048	0.073	0.087	0.109	0.0169	0.717	0.0117	0.123	0.285	1	0.021671956312239	0.968785571587125	0.0156145362859022	0.147701913592425	0.9956866689993	1	0.064	0.064
K04887: potassium voltage-gated channel, Shaw-related subfamily C, member 1	0.039	0.064	0.067	0.118	0.169	0.285	0.000529	0.512	0.000266	0.0205	0.421	1	0.000906338197424893	0.808861666234103	0.000416231876606684	0.0280917379558757	0.9956866689993	1	0.107	0.107
K04886: potassium voltage-gated channel, Shab-related subfamily B, member 2	0.106	0.096	0.088	0.108	0.142	0.195	0.284	0.744	0.472	0.29	0.782	0.234	0.303298020331728	0.987296272073251	0.502635409377187	0.327805013927577	0.9956866689993	0.505091489361702	0.017	0.118
K04885: potassium voltage-gated channel, Shab-related subfamily B, member 1	0.116	0.105	0.13	0.163	0.286	0.379	0.00163	0.917	0.000754	0.0103	0.758	0.703	0.00253287660568315	1	0.00113491543026706	0.0147798444130127	0.9956866689993	1	0.09	0.11
K04884: potassium voltage-gated channel, Shaker-related subfamily A, beta	0.316	0.217	0.317	0.273	0.015	0.061	7.79e-08	1	3.14e-06	6.12e-05	0.436	0.049	2.67852540913006e-07	1	5.62317740511915e-06	0.000115726747437092	0.9956866689993	0.191809003215434	0.212	0.359
K08567: hydrogenase 2 maturation protease	0.496	0.49	0.426	0.475	0	0	0.000262	0.746	0.000221	0.00868	0.00851	0.125	0.00047911314704535	0.988226768226333	0.000348775473165673	0.0125887919942816	0.9956866689993	0.344131614654003	0.146	0.263
K13274	0.121	0.125	0.094	0.134	0	0	0.000305	0.556	0.000817	0.0363	0.661	0.0682	0.000549936766034327	0.846728046034526	0.00122519807834442	0.0478367828534315	0.9956866689993	0.235069875424689	0.111	0.265
K13275	0.614	0.336	0.624	0.375	0.05	0.137	2.11e-09	0.987	8.38e-09	3.85e-07	0.451	0.0523	9.41130726256983e-09	1	1.72327905405405e-08	8.84004149377593e-07	0.9956866689993	0.199717754077792	0.25	0.402
K13276	0.083	0.119	0.136	0.183	0	0	0.0038	0.127	0.0473	0.00259	0.502	0.774	0.00550820624546115	0.308356202632629	0.0581294367050273	0.00406218242720948	0.9956866689993	1	0.079	0.102
K13277	0.155	0.143	0.14	0.148	0.016	0.065	0.0017	0.865	0.000809	0.0136	0.464	0.672	0.00263447204968944	1	0.00121409837278107	0.0191406242774566	0.9956866689993	0.979048348492102	0.092	0.118
K13278	0.881	0.219	0.722	0.269	0.151	0.31	<2e-16	0.00719	1.48e-14	1.57e-11	0.656	0.379	NA	0.0380239183318853	4.93360350492881e-14	4.81197885196375e-11	0.9956866689993	0.685171666171666	0.494	0.537
K13279	0.13	0.148	0.142	0.253	0.181	0.288	0.514	0.954	0.589	0.795	0.523	0.0333	0.530477766287487	1	0.618999136740331	0.830615345005149	0.9956866689993	0.150480400890869	0.011	0.158
K00862: erythritol kinase	0.018	0.046	0.013	0.021	0	0	0.309	0.77	0.198	0.569	0.854	0.249	0.32797872906142	1	0.223272693590219	0.613769803296119	0.9956866689993	0.526089205137105	0.016	0.207
K03716: spore photoproduct lyase	0.501	0.445	0.657	0.497	0	0	1.94e-05	0.214	9.64e-05	9.97e-06	0.943	0.958	4.32894354387926e-05	0.448714433344816	0.000156727243589744	2.03239752176825e-05	0.997316972001383	1	0.147	0.151
K03275: UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase	0.493	0.38	0.543	0.404	0	0	2.53e-06	0.8	4.54e-06	1.46e-05	0.303	0.0885	6.66211081794195e-06	1	8.05215034965035e-06	2.92914304548451e-05	0.9956866689993	0.27782336255802	0.168	0.323
K03274: ADP-L-glycero-D-manno-heptose 6-epimerase	0.823	0.438	0.586	0.523	0	0	5.1e-10	0.0306	2.18e-10	8.71e-05	0.362	0.151	2.58038022813688e-09	0.108481188118812	4.83588192419825e-10	0.000162332424984691	0.9956866689993	0.384737128505651	0.285	0.384
K03276: UDP-galactose:(glucosyl)LPS alpha-1,2-galactosyltransferase	0.157	0.253	0.223	0.27	0	0	0.0169	0.411	0.0468	0.0109	0.386	0.788	0.021671956312239	0.697840167364017	0.0575614467569206	0.0155966854724965	0.9956866689993	1	0.061	0.086
K03271: phosphoheptose isomerase	1.402	0.422	1.159	0.567	0.002	0.007	<2e-16	0.0266	5e-15	1.03e-13	0.805	0.00383	NA	0.098428085106383	1.79557522123894e-14	3.68367215041128e-13	0.9956866689993	0.0380066341463415	0.527	0.665
K03270: 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P	1.723	0.459	1.359	0.691	0.176	0.481	<2e-16	0.00352	1.54e-14	5.02e-11	0.516	0.913	NA	0.0225539368421053	5.10843596730245e-14	1.49275720566683e-10	0.9956866689993	1	0.473	0.477
K03273: D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase	1.292	0.428	1.142	0.53	0.092	0.368	<2e-16	0.26	3.03e-14	1.81e-11	0.58	0.0214	NA	0.516689520078355	8.48839406207827e-14	5.53363636363636e-11	0.9956866689993	0.114164592462752	0.43	0.541
K03272: D-beta-D-heptose 7-phosphate kinase	1.142	0.42	0.938	0.563	0.073	0.291	3.15e-14	0.0824	3.51e-14	1.37e-08	0.63	0.155	5.28352941176471e-13	0.222892809587217	9.39137142857143e-14	3.44879652605459e-08	0.9956866689993	0.389387123400743	0.388	0.468
K03279: UDP-glucose:(glucosyl/galactosyl)LPS alpha-1,2-glucosyltransferase	0.636	0.406	0.577	0.474	0	0	7.88e-08	0.776	7.72e-08	2.65e-05	0.934	0.0304	2.70713941480207e-07	1	1.51147121260856e-07	5.18834030234802e-05	0.9956866689993	0.142123502304147	0.211	0.374
K03278: UDP-D-galactose:(glucosyl)LPS alpha-1,3-D-galactosyltransferase	0.212	0.255	0.303	0.305	0	0	0.000885	0.213	0.00594	0.00053	0.187	0.373	0.00144436631234669	0.447388198757764	0.00822492720655141	0.000909531998872286	0.9956866689993	0.679572283747381	0.102	0.182
K11022: structural toxin protein (hemagglutinin/hemolysin) RtxA	1.005	0.601	0.827	0.708	0	0	1.99e-08	0.342	1.14e-08	5.14e-05	0.638	0.406	7.44524835988754e-08	0.623466307277628	2.32780275075478e-08	9.78335834896811e-05	0.9956866689993	0.716532908089301	0.238	0.294
K12276: MSHA biogenesis protein MshE	0.276	0.179	0.272	0.205	0	0	3.43e-07	0.995	9.87e-08	5.87e-06	0.598	0.912	1.04443630816171e-06	1	1.91883391887576e-07	1.2249122386013e-05	0.9956866689993	1	0.201	0.207
K12278: MSHA biogenesis protein MshG	0.303	0.222	0.283	0.226	0.062	0.247	3.82e-05	0.907	0.000353	0.0063	0.563	0.0286	8.09418259023355e-05	1	0.000546884958004581	0.00932136606708799	0.9956866689993	0.137185342789598	0.137	0.289
K07552: MFS transporter, DHA1 family, bicyclomycin/chloramphenicol	1.112	0.454	1.007	0.522	0.065	0.22	7.91e-14	0.518	6.92e-14	1.73e-09	0.651	0.0541	1.13178207885305e-12	0.814424593967517	1.79471836386877e-13	4.6760701598579e-09	0.9956866689993	0.204538322981366	0.369	0.481
K07221: outer membrane porin	1.2	0.467	1.072	0.515	0.071	0.285	1.64e-13	0.403	3.28e-14	4.64e-10	0.355	0.131	2.05231347962382e-12	0.689643238684285	8.86955131052865e-14	1.30095255642561e-09	0.9956866689993	0.353456117021277	0.37	0.444
K09878: aquaporin-10	0.02	0.051	0.113	0.278	0.102	0.359	0.0238	0.038	0.192	0.98	0.763	0.561	0.029792913138915	0.126396721311475	0.217110161619915	0.991071606579166	0.9956866689993	0.876940677966102	0.054	0.081
K06228: fused	0.09	0.11	0.159	0.203	0.281	0.463	0.00167	0.24	0.00144	0.127	0.587	0.542	0.00258999222999223	0.48696	0.00211364359778153	0.152025368731563	0.9956866689993	0.858037451235371	0.091	0.121
K06116: glycerol 3-phosphatase 1	0.381	0.265	0.316	0.284	0	0	8.78e-09	0.463	4.13e-07	0.000345	0.389	0.017	3.46684075173096e-08	0.760464382083109	7.75425971622455e-07	0.000605366099740559	0.9956866689993	0.0974378531073446	0.239	0.402
K06221: 2,5-diketo-D-gluconate reductase A	1.69	0.314	1.547	0.289	0.212	0.479	<2e-16	0.113	1.67e-15	2.11e-15	0.822	0.0963	NA	0.282013530135301	6.84531313131313e-15	1.80134221598878e-14	0.9956866689993	0.291776057740169	0.66	0.714
K09903: uridylate kinase	2.054	0.32	1.824	0.413	0	0	<2e-16	0.0034	1.67e-15	1.67e-15	0.717	0.882	NA	0.0220168085106383	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.795	0.798
K06222: 2,5-diketo-D-gluconate reductase B	1.052	0.353	0.868	0.467	0.044	0.136	<2e-16	0.0498	2.7e-14	8.36e-11	0.559	0.445	NA	0.15473843797856	8.27537764350453e-14	2.44768253968254e-10	0.9956866689993	0.758956290277389	0.445	0.486
K11504: centromere protein L	0.183	0.53	1.754	0.703	3.161	0.078	<2e-16	1.67e-15	1.67e-15	3.21e-13	0.973	0.111	NA	7.05538636363636e-13	6.84531313131313e-15	1.10641392978482e-12	0.998386055843504	0.319007082152975	0.788	0.824
K00773: queuine tRNA-ribosyltransferase	2.092	0.258	2.209	0.21	2.988	0.072	<2e-16	0.0579	1.67e-15	2.43e-14	0.609	0.244	NA	0.173187862407862	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.51931048951049	0.584	0.655
K00772: 5'-methylthioadenosine phosphorylase	0.597	0.314	0.647	0.374	0.081	0.278	1.28e-07	0.752	7.67e-08	3.82e-07	0.948	1	4.25813333333333e-07	0.991857854821235	1.50216505791506e-07	8.7744679245283e-07	0.997316972001383	1	0.211	0.211
K04467: inhibitor of nuclear factor kappa-B kinase alpha subunit	0.019	0.096	0.052	0.123	0.216	0.34	1.83e-05	0.545	5.07e-06	0.00137	0.0422	0.613	4.10183043234138e-05	0.836252835896143	8.96603428239396e-06	0.00222497065101387	0.9956866689993	0.926808494783905	0.17	0.194
K00777	0.597	0.385	0.563	0.394	0.048	0.164	2.28e-06	0.903	5.16e-07	5.4e-05	0.304	0.495	6.05170212765958e-06	1	9.61105263157895e-07	0.000102461970074813	0.9956866689993	0.809528479312198	0.18	0.233
