Taxa	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Listeria_ivanovii	0.185730143682222	0.366	0.199527713782072	0.297	0.727	0.121	0.0672	0.812989247311828	0.700526315789474	0.08064	0.01	0.112
Alkaliphilus_oremlandii	0.317477394576734	0.478	0.422856284222697	0.539	0.0717	0.936	1.13e-05	0.133157142857143	0.977889908256881	2.66357142857143e-05	0.01	0.268
Paludibacter_propionicigenes	2.15523984066554	1.11	2.06433489011482	1.045	0.164	0.573	<2e-16	0.26	0.895492957746479	NA	0.003	0.715
.Eubacterium._eligens	2.25898014941155	1.156	2.09047839878662	0.978	0.0482	0.615	<2e-16	0.0945811320754717	0.922625	NA	0.007	0.589
Unclassified	4.75918866852608	0.132	4.70135005724042	0.146	7.72e-06	0.297	<2e-16	4.0144e-05	0.895492957746479	NA	0.042	0.554
Ralstonia_pickettii	0.538264122126334	0.709	0.677138653160635	0.773	0.0549	0.468	1.94e-11	0.105733333333333	0.895492957746479	1.2804e-10	0.011	0.412
Selenomonas_ruminantium	0.618429435837272	0.629	0.744756543088358	0.902	0.116	0.0974	1.98e-10	0.204474576271186	0.700526315789474	1.00523076923077e-09	0.014	0.392
Marinitoga_piezophila	0.347273971709828	0.562	0.371380874114031	0.558	0.724	0.815	4.2e-15	0.812989247311828	0.976847826086956	1.2936e-13	0	0.475
Lactococcus_lactis	1.03156971103528	0.868	0.70926150358358	0.753	0.000635	0.005	0.000242	0.00219406451612903	0.18018	0.000431675675675676	0.063	0.264
Clostridium_saccharobutylicum	1.01220542444889	1.071	0.612152754844404	0.83	3.69e-05	0.665	7.18e-13	0.0001599	0.922625	7.898e-12	0.041	0.459
Streptococcus_sanguinis	0.37916149346482	0.523	0.120806275835326	0.284	5.13e-07	0.0629	0.00385	3.3345e-06	0.700526315789474	0.00498235294117647	0.097	0.248
Bacteroides_salanitronis	1.0228098665707	0.704	0.852545399194397	0.637	0.00344	0.568	<2e-16	0.00917333333333333	0.895492957746479	NA	0.017	0.55
Halothiobacillus_neapolitanus	0.735388397323887	0.669	0.687544321076835	0.63	0.49	0.483	4.09e-09	0.613975903614458	0.895492957746479	1.3497e-08	0.003	0.356
Ethanoligenens_harbinense	2.40484164707612	0.657	2.49136204739913	0.565	0.147	0.456	1.82e-09	0.238875	0.895492957746479	6.32210526315789e-09	0.007	0.366
Streptococcus_thermophilus	0.559483301381326	0.692	0.354889774264794	0.534	0.00921	0.0759	0.387	0.0222753488372093	0.700526315789474	0.411967741935484	0.039	0.084
Haliscomenobacter_hydrossis	0.379766681369798	0.641	0.350522179741846	0.563	0.576	0.813	<2e-16	0.696558139534884	0.976847826086956	NA	0.001	0.635
Mobiluncus_curtisii	0.19108168341642	0.424	0.825041042551297	0.883	1.32e-12	0.789	0.0125	2.7456e-11	0.976847826086956	0.0155660377358491	0.174	0.292
Acidaminococcus_intestini	0.417901025566832	0.887	0.426766119547973	0.845	0.825	0.00819	<2e-16	0.884536082474227	0.18018	NA	0.007	0.759
Caldilinea_aerophila	0.243347143546335	0.447	0.134849230776117	0.273	0.0116	0.548	0.000238	0.025668085106383	0.895492957746479	0.000431675675675676	0.022	0.233
Alistipes_shahii	2.17680020979375	1.127	1.92465204942178	0.995	0.000654	0.932	<2e-16	0.00219406451612903	0.977889908256881	NA	0.012	0.771
Dehalococcoides_mccartyi	0.151055914916945	0.297	0.142791542221236	0.27	0.719	0.897	0.00129	0.812989247311828	0.977889908256881	0.00185086956521739	0.001	0.188
Akkermansia_muciniphila	1.5448029175026	1.213	1.19516111420473	1.059	0.00283	0.34	3.01e-15	0.00795459459459459	0.895492957746479	1.2936e-13	0.021	0.494
Lactobacillus_helveticus	0.182098274485108	0.38	0.205284808017791	0.384	0.64	0.466	1	0.756363636363636	0.895492957746479	1	0.003	0.003
Thermus_thermophilus	0.202888034027639	0.391	1.57128998198248	0.95	<2e-16	0.0872	0.116	NA	0.700526315789474	0.134315789473684	0.477	0.522
Coriobacterium_glomerans	0.572085756151038	0.646	0.139677696986009	0.299	1.21e-11	0.312	0.00312	1.573e-10	0.895492957746479	0.00420244897959184	0.158	0.302
Desulfotomaculum_carboxydivorans	1.19115842467315	0.77	0.966469515936225	0.686	0.00198	0.495	7.04e-12	0.00588342857142857	0.895492957746479	5.808e-11	0.025	0.431
Clostridium_botulinum	0.285382240915524	0.575	0.703336791848571	0.676	1.04e-09	0.254	5.2e-09	8.32e-09	0.895492957746479	1.63428571428571e-08	0.105	0.42
Veillonella_parvula	1.35297769261755	0.952	1.05535765143517	0.911	0.000291	0.0918	<2e-16	0.00112088888888889	0.700526315789474	NA	0.028	0.594
Rothia_mucilaginosa	0.383220473351441	0.578	0.223709613891843	0.419	0.00332	0.435	3.71e-10	0.00908631578947369	0.895492957746479	1.6324e-09	0.024	0.394
Prevotella_sp._oral_taxon_299	0.355790667893126	0.539	1.10390563774125	1.222	2.69e-11	0.531	1.91e-05	3.10844444444444e-10	0.895492957746479	4.202e-05	0.138	0.356
Prevotella_ruminicola	0.391556787469762	0.513	0.344263851267127	0.471	0.294	0.308	<2e-16	0.402315789473684	0.895492957746479	NA	0.004	0.587
Ruminococcus_albus	1.27355607821591	0.879	1.18432474006941	0.853	0.273	0.522	<2e-16	0.388931506849315	0.895492957746479	NA	0.003	0.512
Streptococcus_sp._I.P16	0.892715211333305	0.852	0.483822855232096	0.651	2.11e-08	0.341	<2e-16	1.56742857142857e-07	0.895492957746479	NA	0.068	0.545
Atopobium_parvulum	0.44302442890151	0.589	0.267009866628288	0.456	0.00523	0.0921	0.000894	0.0132663414634146	0.700526315789474	0.0013665	0.036	0.223
Porphyromonas_gingivalis	0.501586067197269	0.429	0.382484870987707	0.372	0.0115	0.421	0.000654	0.025668085106383	0.895492957746479	0.0010791	0.024	0.218
Adlercreutzia_equolifaciens	1.69640794547529	1.022	1.13768511077917	0.734	2.04e-12	0.659	<2e-16	3.536e-11	0.922625	NA	0.096	0.603
