wgs	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Individual p-value	Origin (adj p-value)	Individual (adj p-value)
Ethylbenzene_degradation	0.168	0.24	0.255	0.358	0.315413804691624	0.0275684856353219	0.422941238109224	0.257497703547058
Steroid_biosynthesis	1.031	0.557	1.272	0.506	0.121648453555423	0.00285186586914626	0.227849484437141	0.0766679235263472
Histidine_metabolism	3.427	0.358	3.319	0.227	0.132338666207383	0.929801321071317	0.243999415819862	0.999973330728242
Photosynthesis	0.681	0.469	0.694	0.464	0.852004839231989	0.218548895255305	0.906383316382114	0.758493224709588
Sphingolipid_metabolism	2.928	0.313	2.799	0.575	0.119384302607968	0.915136176474912	0.227215285608713	0.999973330728242
Thiamine_metabolism	3.528	0.097	3.429	0.151	7.1985321349348e-05	0.510074000544865	0.000499662818777827	0.999973330728242
Phosphonate_and_phosphinate_metabolism	2.602	0.417	2.337	0.692	0.0138034490729923	0.99982553041914	0.0417642818105921	0.999973330728242
D_Alanine_metabolism	3.41	0.375	3.257	0.453	0.0735294798828185	0.943352905169084	0.157754156839501	0.999973330728242
Arginine_and_proline_metabolism	3.2	0.327	3.225	0.105	0.695628329430952	0.933849965108097	0.774378706347663	0.999973330728242
Glycerolipid_metabolism	2.865	0.31	2.846	0.165	0.665122320290364	0.613347199789241	0.754658017252528	0.999973330728242
Biosynthesis_of_type_II_polyketide_backbone	0.681	0.466	0.508	0.579	0.0852071390448593	0.0758168368257583	0.171658057441676	0.388973336758238
Tryptophan_metabolism	2.506	0.293	2.753	0.25	0.000133674731442002	0.699026026087928	0.000830190437376645	0.999973330728242
beta_Lactam_resistance	1.798	0.6	2.075	0.49	0.085829028720838	0.239554343384615	0.171658057441676	0.785205903316238
Limonene_and_pinene_degradation	2.427	0.838	2.002	1.194	0.0238031629362486	0.409929336115649	0.0584002895505059	0.999973330728242
Folate_biosynthesis	3.331	0.354	3.252	0.227	0.260915679420842	0.88319484576848	0.380099384835301	0.999973330728242
Purine_metabolism	3.223	0.33	3.211	0.107	0.852614814562836	0.999873850352329	0.906383316382114	0.999973330728242
Nicotinate_and_nicotinamide_metabolism	3.347	0.088	3.266	0.153	0.000155885061862206	0.0670449052421935	0.000919721864987016	0.379401826901544
Benzoate_degradation	2.573	0.343	2.501	0.37	0.338835545272644	0.999830502914849	0.439369168595297	0.999973330728242
Xylene_degradation	0.132	0.273	0.183	0.24	0.380788500001934	0.183447913282804	0.488402641306829	0.746443233357615
Phenylpropanoid_biosynthesis	0.259	0.161	0.337	0.273	0.282427650845957	0.00324864082738759	0.392076032939093	0.0766679235263472
Glycine_serine_and_threonine_metabolism	3.351	0.11	3.217	0.169	3.79736764997618e-06	0.637345993039699	4.97877091885766e-05	0.999973330728242
Lysine_biosynthesis	3.446	0.361	3.352	0.198	0.191617756645123	0.999826377484961	0.301478603788327	0.999973330728242
Naphthalene_degradation	2.154	1.331	2.163	1.295	0.964223980063751	0.480428462842641	0.96752221925895	0.999973330728242
Lipoic_acid_metabolism	3.319	0.413	3.592	0.371	0.000944024428712623	0.0250608381472543	0.00397838866386034	0.257497703547058
Biosynthesis_of_siderophore_group_nonribosomal_peptides	1.769	0.398	1.997	0.339	0.0208782757074213	0.144097982257963	0.0556789206348287	0.673343029022509
Chloroalkane_and_chloroalkene_degradation	2.857	0.604	2.467	1.022	0.0132263982675168	0.999825148260342	0.0410714472517626	0.999973330728242
Glycosylphosphatidylinositol_GPI_anchor_biosynthesis	1.205	0.417	1.832	0.464	8.54579679156237e-10	0.999849399424079	2.5210100535109e-08	0.999973330728242
Nitrogen_metabolism	3.082	0.106	2.979	0.169	0.000186516580920355	0.999917867333223	0.00104804554993342	0.999973330728242
Porphyrin_and_chlorophyll_metabolism	3.095	0.131	3.019	0.211	0.0217053419423908	0.0528627721166716	0.0556789206348287	0.328305637356171
D_Glutamine_and_D_glutamate_metabolism	3.61	0.384	3.572	0.137	0.487373999126403	0.489652971693613	0.605369809441216	0.999973330728242
Alanine_aspartate_and_glutamate_metabolism	3.518	0.367	3.42	0.16	0.171699421900163	0.999861609303402	0.285359602594636	0.999973330728242
Riboflavin_metabolism	3.333	0.151	3.192	0.27	0.000631781481760477	0.821476202821044	0.00298200859390945	0.999973330728242
Terpenoid_backbone_biosynthesis	3.342	0.349	3.303	0.164	0.518243272542791	0.787687287316584	0.63626097515653	0.999973330728242
Retinol_metabolism	1.474	0.444	1.823	0.481	0.000579954747317699	0.89693504716895	0.00290614131817493	0.999973330728242
Biosynthesis_of_12_14_and_16_membered_macrolides	0.363	0.307	0.363	0.355	0.951421612171801	0.628638013364333	0.96752221925895	0.999973330728242
Brassinosteroid_biosynthesis	1.095	0.426	0.79	0.624	0.0026486868138069	0.562798827679438	0.00956225117641624	0.999973330728242
Galactose_metabolism	3.288	0.338	3.296	0.137	0.96752221925895	0.720090847147577	0.96752221925895	0.999973330728242
Steroid_hormone_biosynthesis	2.095	0.325	2.059	0.226	0.465505759847803	0.0209945124846161	0.584358294277029	0.24773524731847
Cysteine_and_methionine_metabolism	3.397	0.072	3.398	0.133	0.865879924632639	0.174739226051616	0.908397184980162	0.736401024074668
Phenylalanine_tyrosine_and_tryptophan_biosynthesis	3.333	0.35	3.21	0.205	0.0795724858119662	0.999873791702516	0.167670595103786	0.999973330728242
Valine_leucine_and_isoleucine_degradation	2.877	0.094	2.824	0.112	0.0212697704405466	0.0107171070984098	0.0556789206348287	0.158077329701545
Starch_and_sucrose_metabolism	3.383	0.06	3.324	0.151	0.0026741888883198	0.856612785370568	0.00956225117641624	0.999973330728242
One_carbon_pool_by_folate	3.533	0.368	3.44	0.158	0.197930964217724	0.999841866382642	0.30731386549594	0.999973330728242
Carbon_fixation_pathways_in_prokaryotes	3.272	0.579	2.666	1.284	0.000591079590137273	0.999830409961047	0.00290614131817493	0.999973330728242
Penicillin_and_cephalosporin_biosynthesis	2.18	0.453	1.993	0.714	0.110753567875883	0.0025918790628654	0.217815350155903	0.0766679235263472
Lysine_degradation	2.585	0.274	2.757	0.146	0.00199743001331432	0.999853588861951	0.0076031206958416	0.999973330728242
Inositol_phosphate_metabolism	2.66	0.285	2.584	0.2	0.180138110942938	0.764437564652107	0.29118215193516	0.999973330728242
Cyanoamino_acid_metabolism	2.705	1.196	2.453	1.309	0.338458134446262	0.999779700759724	0.439369168595297	0.999973330728242
Selenocompound_metabolism	3.421	0.362	3.318	0.205	0.152186205405027	0.999857874770007	0.26408782702637	0.999973330728242
C5_Branched_dibasic_acid_metabolism	3.222	0.825	2.864	1.093	0.0651070213697067	0.999780664149994	0.142270898548618	0.999973330728242
Zeatin_biosynthesis	3.045	0.332	2.812	0.805	0.0242509676947016	0.742486912927927	0.0584002895505059	0.999973330728242
Propanoate_metabolism	3.047	0.318	3.008	0.139	0.523028089747317	0.999866156246445	0.63626097515653	0.999973330728242
Insect_hormone_biosynthesis	0.068	0.149	0.056	0.168	0.708857533566894	0.999893256530425	0.781730737952276	0.999973330728242
Chlorocyclohexane_and_chlorobenzene_degradation	1.678	0.865	1.106	1.139	0.00157685975480275	0.0675206641095968	0.00620231503555749	0.379401826901544
Pantothenate_and_CoA_biosynthesis	3.469	0.365	3.391	0.162	0.276694066679476	0.999847522450099	0.388689284144979	0.999973330728242
Amino_sugar_and_nucleotide_sugar_metabolism	3.378	0.091	3.287	0.18	0.00046322693617131	0.999918239823898	0.0024845808394643	0.999973330728242
Biotin_metabolism	3.428	0.367	3.314	0.234	0.11571993312223	0.724332744218591	0.223851673908575	0.999973330728242
Fatty_acid_metabolism	2.735	0.29	2.671	0.543	0.398793089640674	0.811386386672759	0.505995533092468	0.999973330728242
Oxidative_phosphorylation	3.024	0.054	3.049	0.1	0.0495317647732083	0.0472730219510666	0.112399004677665	0.322592560052789
Synthesis_and_degradation_of_ketone_bodies	2.571	0.499	2.558	0.745	0.901355616124067	0.779711257363966	0.932982128970526	0.999973330728242
Valine_leucine_and_isoleucine_biosynthesis	3.593	0.378	3.484	0.152	0.14412451118214	0.99985592340612	0.257677156355947	0.999973330728242
Atrazine_degradation	2.12	0.371	1.838	0.606	0.000696449041698984	0.0492090345843237	0.00316080718924924	0.322592560052789
Primary_bile_acid_biosynthesis	0.148	0.413	0.438	0.801	0.0113674534347918	0.999852693281464	0.0362529596028496	0.999973330728242
Pyrimidine_metabolism	3.385	0.086	3.287	0.127	5.78993998355889e-06	0.226695854994654	6.83212918059949e-05	0.764288882553404
Toluene_degradation	2.386	1.048	1.709	1.224	0.00139008957637152	0.0745286472666435	0.00565622655213239	0.388973336758238
Glycosaminoglycan_biosynthesis_heparan_sulfate	0.258	0.523	1.333	0.615	2.75849764512613e-14	0.200803508032408	3.25502722124883e-12	0.746461835887366
Caprolactam_degradation	1.925	0.463	1.906	0.496	0.272150304771203	0.000447079981652213	0.387838085186934	0.0527554378349612
Glycosphingolipid_biosynthesis_lacto_and_neolacto_series	0.81	0.527	1.223	0.62	0.000752522440938833	0.999808507226882	0.00328880177891786	0.999973330728242
Butanoate_metabolism	3.082	0.323	3.043	0.158	0.537628032429783	0.99983784693542	0.640809169966812	0.999973330728242
Geraniol_degradation	2.475	0.359	2.29	0.539	0.0336444502487795	0.767249479661127	0.0778440221442349	0.999973330728242
Vitamin_B6_metabolism	3.382	0.354	3.281	0.188	0.148561952811127	0.933618154606884	0.261646424353925	0.999973330728242
Other_types_of_O_glycan_biosynthesis	0.796	0.405	1.165	0.566	0.000112214258501509	0.729812659495012	0.000735626805732116	0.999973330728242
Pyruvate_metabolism	3.361	0.09	3.238	0.163	1.52121576829897e-06	0.999960402342975	2.99172434432131e-05	0.999973330728242
Flavonoid_biosynthesis	1.546	0.449	1.442	0.79	0.176489591303968	0.0849342947716296	0.289246830192615	0.417593615960512
alpha_Linolenic_acid_metabolism	1.492	0.535	1.519	0.783	0.831218528974268	0.840304006561839	0.899851251550125	0.999973330728242
Glyoxylate_and_dicarboxylate_metabolism	3.093	0.069	2.982	0.172	2.04826582344369e-06	0.999973330728242	3.45279095951936e-05	0.999973330728242
Arachidonic_acid_metabolism	1.788	0.483	2.574	0.413	3.63454996245353e-11	0.00971411754431825	1.42958965189839e-09	0.158077329701545
Phenylalanine_metabolism	2.779	0.288	2.816	0.096	0.53022410971106	0.863098311179995	0.638433111692909	0.999973330728242
Glycosphingolipid_biosynthesis_ganglio_series	0.138	0.338	0.702	1.009	7.82760861996373e-06	0.999846200433139	8.39688924687019e-05	0.999973330728242
Methane_metabolism	2.973	0.375	2.724	0.521	0.00602998269129473	0.999843506764466	0.0209275869874346	0.999973330728242
beta_Alanine_metabolism	2.938	0.449	2.986	0.868	0.69377769621082	0.999843931088763	0.774378706347663	0.999973330728242
Peptidoglycan_biosynthesis	3.49	0.373	3.387	0.243	0.159787627102544	0.876979680185684	0.273259999972467	0.999973330728242
Citrate_cycle_TCA_cycle_	3.295	0.348	3.221	0.131	0.272801365004369	0.935131376677896	0.387838085186934	0.999973330728242
Lipopolysaccharide_biosynthesis	3.251	0.383	3.147	0.257	0.165268672538444	0.399372392063367	0.278595762279092	0.999973330728242
Ubiquinone_and_other_terpenoid_quinone_biosynthesis	2.926	0.347	3.254	0.265	2.07376957871508e-05	0.198297284401562	0.000174789150205985	0.746461835887366
N_Glycan_biosynthesis	2.427	0.177	2.496	0.098	0.0557554002183798	0.53219207398399	0.124134664637147	0.999973330728242
Glycosaminoglycan_biosynthesis_chondroitin_sulfate	0.834	0.326	1.187	0.436	1.12948782405856e-05	0.418300518267449	0.000102522740953007	0.999973330728242
Glycerophospholipid_metabolism	2.952	0.312	2.895	0.226	0.32078326289503	0.736986163225379	0.425308146310265	0.999973330728242
Other_glycan_degradation	3.432	0.111	3.369	0.187	0.0228852684469688	0.148363718259197	0.0574566314200492	0.673343029022509
Fructose_and_mannose_metabolism	3.385	0.08	3.275	0.174	1.0812851153044e-05	0.86805884239856	0.000102522740953007	0.999973330728242
Metabolism_of_xenobiotics_by_cytochrome_P450	0.132	0.359	0.703	0.901	2.34438899357936e-06	0.999831198966591	3.45797376552955e-05	0.999973330728242
Dioxin_degradation	1.067	1.293	1.007	1.241	0.22434172317986	0.00234843405812477	0.335092700445866	0.0766679235263472
Biosynthesis_of_unsaturated_fatty_acids	2.505	0.288	2.273	0.815	0.0201828304461207	0.955282056655114	0.0556789206348287	0.999973330728242
Glycosphingolipid_biosynthesis_globo_series	1.21	0.853	2.531	0.519	3.400610121421e-11	0.999803019278188	1.42958965189839e-09	0.999973330728242
Pentose_and_glucuronate_interconversions	3.36	0.131	3.221	0.208	6.05424319205105e-05	0.747668835665727	0.000446500435413765	0.999973330728242
Glycosaminoglycan_degradation	2.775	0.342	2.78	0.185	0.869905778836934	0.0283683910687437	0.908397184980162	0.257497703547058
