Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Synergistia	0.399809717212446	0.35	0.396231045413419	0.45	0.0501713787930516	0.201	2.89e-10	0.999	0.00128	0.00738	0.846	7.47e-08	8.708e-10	0.999	0.00271058823529412	0.01476	0.870171428571428	3.5955e-07	0.235	0.566
Opitutae	0.187403222330422	0.268	0.129017894589094	0.277	0.0501713787930516	0.201	0.0106	0.557	0.134	0.607	0.392	0.009	0.0114153846153846	0.999	0.1608	0.607	0.757333333333333	0.01208	0.068	0.237
Spirochaetia	0.94067452399648	0.379	1.12699278518084	0.492	0.87624699262598	0.37	3.42e-05	0.0825	0.824	0.12	0.552	2.36e-07	5.63294117647059e-05	0.33	0.847542857142857	0.18	0.757333333333333	8.496e-07	0.095	0.52
Acidobacteriia	0.392680114910984	0.361	0.363108595092894	0.476	0	0	3.72e-13	0.925	0.000352	0.0057	0.735	1.21e-09	2.604e-12	0.999	0.000905142857142857	0.0120705882352941	0.853548387096774	1.089e-08	0.282	0.641
Actinobacteria	2.59981192717284	0.54	2.48604994226694	0.588	1.0416302943759	0.432	<2e-16	0.585	2.16e-14	8.05e-14	0.0658	0.000111	NA	0.999	1.5552e-13	7.245e-13	0.4296	0.000285428571428571	0.55	0.716
Chlamydiia	0.171833208766378	0.353	0.118247335261628	0.232	0	0	0.0157	0.705	0.108	0.453	0.761	0.0438	0.0162814814814815	0.999	0.134068965517241	0.494181818181818	0.856125	0.0508645161290323	0.059	0.239
Negativicutes	1.51046864009431	0.639	1.41811657403143	0.883	0.267309070653432	0.436	<2e-16	0.8	7.86e-10	7.49e-07	0.331	1.28e-08	NA	0.999	3.942e-09	2.6964e-06	0.757333333333333	7.68e-08	0.386	0.67
Dehalococcoidia	0.198409876302894	0.28	0.357902456737845	0.458	0	0	4.09e-05	0.0453	0.0486	0.000926	0.535	0.000174	6.36222222222222e-05	0.232971428571429	0.069984	0.00238114285714286	0.757333333333333	0.0004176	0.114	0.355
Alphaproteobacteria	1.43499851383996	0.421	1.56532557607006	0.462	1.417451806278	0.257	1.43e-09	0.312	0.987	0.495	0.284	4.48e-14	3.64e-09	0.864	0.987	0.524117647058824	0.730285714285714	8.064e-13	0.155	0.719
Gloeobacteria	0.128399790638779	0.216	0.113820306960726	0.263	0	0	0.00336	0.946	0.0723	0.214	0.643	0.00675	0.0037632	0.999	0.0929571428571429	0.296307692307692	0.7716	0.00972	0.079	0.255
Erysipelotrichia	1.64202430080606	0.458	1.57569945634243	0.618	0.319243477490286	0.468	<2e-16	0.806	2.81e-14	7.35e-13	0.217	6.06e-05	NA	0.999	1.686e-13	4.824e-12	0.729	0.000167815384615385	0.507	0.696
Phycisphaerae	0.137786830952694	0.245	0.1070191239523	0.234	0	0	0.000698	0.806	0.0704	0.301	0.832	0.00334	0.000888363636363636	0.999	0.0929571428571429	0.373655172413793	0.870171428571428	0.00546545454545455	0.099	0.292
Chrysiogenetes	0.101668369992943	0.201	0.230455378442459	0.288	0	0	5.95e-06	0.0127	0.171	0.00168	0.0534	0.000616	1.19e-05	0.09144	0.19858064516129	0.004032	0.4296	0.00130447058823529	0.153	0.359
Epsilonproteobacteria	1.23631456979802	0.501	1.45996455156993	0.706	0.249820369518342	0.413	<2e-16	0.132	8.76e-10	1.24e-10	0.229	5.34e-07	NA	0.4752	3.942e-09	6.37714285714286e-10	0.729	1.602e-06	0.374	0.638
Betaproteobacteria	1.41983060705472	0.419	1.43269864304214	0.618	1.1355248284104	0.205	3.11e-10	0.99	0.0527	0.0916	0.423	7.34e-09	8.708e-10	0.999	0.0729692307692308	0.143373913043478	0.757333333333333	5.2848e-08	0.218	0.619
Bacteroidia	4.32089349938983	0.376	4.07286368918928	0.586	2.08827184615601	0.536	<2e-16	0.027	1.67e-15	1.67e-15	0.799	0.00222	NA	0.162	2.004e-14	3.006e-14	0.870171428571428	0.004068	0.737	0.806
Planctomycetia	0.362392283870712	0.333	0.384221846274642	0.41	0.0352537561027599	0.141	3.24e-11	0.95	0.00122	0.00333	0.568	2.23e-07	1.2565e-10	0.999	0.00271058823529412	0.0074925	0.757333333333333	8.496e-07	0.254	0.576
Cytophagia	0.752419165069793	0.367	0.660016885955632	0.505	0.390107808122779	0.366	6.54e-07	0.525	0.00269	0.0808	0.526	0.00268	1.40861538461538e-06	0.999	0.00538	0.132218181818182	0.757333333333333	0.00459428571428571	0.187	0.395
Thermodesulfobacteria	0.189977399001811	0.236	0.136624686153274	0.224	0.0447182510934897	0.179	0.0623	0.512	0.0471	0.396	0.0378	0.846	0.0623	0.999	0.069984	0.47475	0.4296	0.870171428571428	0.067	0.081
Unclassified	2.89626325013969	0.128	2.87487797940845	0.153	2.2285124461359	0.129	<2e-16	0.735	1.67e-15	1.67e-15	0.278	0.435	NA	0.999	2.004e-14	3.006e-14	0.730285714285714	0.460588235294118	0.717	0.732
Deferribacteres	0.138435817449517	0.211	0.0996628202374029	0.178	0	0	0.000674	0.618	0.0238	0.23	0.492	0.0122	0.000888363636363636	0.999	0.0408	0.306666666666667	0.757333333333333	0.0156857142857143	0.103	0.278
Gammaproteobacteria	4.85386158476468	0.148	4.84735035319366	0.251	5.06548903159803	0.007	7.51e-13	0.982	1.57e-05	0.000141	0.217	3.54e-07	3.528e-12	0.999	4.34769230769231e-05	0.000423	0.729	1.15854545454545e-06	0.305	0.576
Aquificae	0.151664669345537	0.235	0.121194453073046	0.242	0	0	0.00124	0.799	0.0339	0.196	0.19	0.0137	0.0015095652173913	0.999	0.0554727272727273	0.28224	0.729	0.0170068965517241	0.1	0.27
Sphingobacteriia	0.697303205943899	0.391	0.580852560735939	0.457	0.0352537561027599	0.141	7.56e-13	0.342	9.04e-09	4.37e-05	0.46	0.000461	3.528e-12	0.879428571428572	3.616e-08	0.000143018181818182	0.757333333333333	0.00103725	0.328	0.54
Chlorobia	0.619395859629698	0.394	0.431678616676056	0.493	0.0813746587491984	0.224	2.89e-16	0.0779	5.86e-06	0.0169	0.485	7.99e-08	8.092e-15	0.33	1.758e-05	0.0320210526315789	0.757333333333333	3.5955e-07	0.37	0.682
Verrucomicrobiae	1.85962450889462	1.218	1.61482646806439	1.282	0.632661966377829	0.716	6.16e-08	0.6	0.000538	0.0246	0.0564	1.25e-11	1.43733333333333e-07	0.999	0.0012912	0.04428	0.4296	1.5e-10	0.164	0.626
