wgs	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Individual p-value	Origin (adj p-value)	Individual (adj p-value)
Polycyclic_aromatic_hydrocarbon_degradation	1.445	1.38	1.385	1.356	0.256563644170606	0.0378143050452154	0.335164066951196	0.403868150191126
Glutathione_metabolism	2.896	0.334	3.2	0.275	2.7930219627864e-05	0.209983214036777	9.08298877313431e-05	0.777970596267403
Ethylbenzene_degradation	0.168	0.24	0.255	0.358	0.315413804691624	0.0275684856353219	0.385316323569228	0.356180910085337
Steroid_biosynthesis	1.031	0.557	1.272	0.506	0.121648453555423	0.00285186586914626	0.180872042786352	0.112869244468387
Complement_and_coagulation_cascades	0.514	0.402	1.295	0.811	8.24303336617146e-10	0.999841928411042	6.20975180251583e-09	0.999973330728242
Peroxisome	1.835	0.257	1.988	0.295	0.00830659626481252	0.999844097427943	0.0172228509710792	0.999973330728242
DNA_replication	3.33	0.347	3.266	0.149	0.310876662820933	0.784699976950178	0.381837640203973	0.999973330728242
D_Alanine_metabolism	3.41	0.375	3.257	0.453	0.0735294798828185	0.943352905169084	0.117855762081681	0.999973330728242
Two_component_system	2.956	0.11	2.917	0.202	0.186859086402633	0.999902295198873	0.255940324406031	0.999973330728242
Antigen_processing_and_presentation	0.067	0.292	0.668	0.952	5.71618384434113e-07	0.999801445006266	2.74863308259807e-06	0.999973330728242
Biosynthesis_of_type_II_polyketide_backbone	0.681	0.466	0.508	0.579	0.0852071390448593	0.0758168368257583	0.13372787100096	0.463097435746523
Phagosome	0.782	0.698	2.293	0.78	2.10324918391218e-15	0.96746059432791	3.65641781203194e-14	0.999973330728242
Folate_biosynthesis	3.331	0.354	3.252	0.227	0.260915679420842	0.88319484576848	0.338890480167301	0.999973330728242
Toxoplasmosis	0.138	0.301	0.456	0.56	0.000151826849683808	0.999830264709379	0.000434340101627096	0.999973330728242
Benzoate_degradation	2.573	0.343	2.501	0.37	0.338835545272644	0.999830502914849	0.407323581019243	0.999973330728242
Phenylpropanoid_biosynthesis	0.259	0.161	0.337	0.273	0.282427650845957	0.00324864082738759	0.354603606062146	0.112869244468387
Hepatitis_C	0.116	0.363	0.275	0.466	0.0410262989502278	0.0359455263604275	0.0702419966875113	0.403868150191126
Biosynthesis_of_siderophore_group_nonribosomal_peptides	1.769	0.398	1.997	0.339	0.0208782757074213	0.144097982257963	0.0389957876849357	0.692896680644674
Chloroalkane_and_chloroalkene_degradation	2.857	0.604	2.467	1.022	0.0132263982675168	0.999825148260342	0.0259927478996417	0.999973330728242
Meiosis_yeast	0.767	0.249	0.811	0.319	0.646826023866372	0.0225308966791158	0.702801352854808	0.339465509965345
Olfactory_transduction	0.136	0.388	1.147	0.744	3.89152614624697e-15	0.369307418016649	6.28203506465583e-14	0.999973330728242
Nitrogen_metabolism	3.082	0.106	2.979	0.169	0.000186516580920355	0.999917867333223	0.0005140578937561	0.999973330728242
Bacterial_secretion_system	3.126	0.153	2.993	0.345	0.00445322573658723	0.999863523368859	0.00940587865858612	0.999973330728242
Shigellosis	0.034	0.093	0.071	0.211	0.170036155636181	0.0126059120146771	0.238684293004825	0.258994192301548
Porphyrin_and_chlorophyll_metabolism	3.095	0.131	3.019	0.211	0.0217053419423908	0.0528627721166716	0.03988135999171	0.442480981421029
D_Glutamine_and_D_glutamate_metabolism	3.61	0.384	3.572	0.137	0.487373999126403	0.489652971693613	0.561972060217179	0.999973330728242
Alanine_aspartate_and_glutamate_metabolism	3.518	0.367	3.42	0.16	0.171699421900163	0.999861609303402	0.239531292280474	0.999973330728242
Riboflavin_metabolism	3.333	0.151	3.192	0.27	0.000631781481760477	0.821476202821044	0.00153529693417062	0.999973330728242
Neuroactive_ligand_receptor_interaction	0.381	0.538	1.814	0.744	5.30361373992652e-19	0.044771104139248	3.99538901741131e-17	0.427348118437642
Pancreatic_secretion	0.233	0.47	0.743	0.882	0.000115916237113071	0.999841551694484	0.000344698284046764	0.999973330728242
Biosynthesis_of_12_14_and_16_membered_macrolides	0.363	0.307	0.363	0.355	0.951421612171801	0.628638013364333	0.961393409704832	0.999973330728242
Galactose_metabolism	3.288	0.338	3.296	0.137	0.96752221925895	0.720090847147577	0.96752221925895	0.999973330728242
Steroid_hormone_biosynthesis	2.095	0.325	2.059	0.226	0.465505759847803	0.0209945124846161	0.539509239618479	0.339465509965345
Gastric_acid_secretion	0.27	0.564	1.325	1.04	5.26508859247122e-10	0.2642574054174	4.24967864963748e-09	0.891375725736305
Aminoacyl_tRNA_biosynthesis	3.554	0.084	3.484	0.122	0.000661669392347067	0.339048985381231	0.00159082215606848	0.999973330728242
Carbohydrate_digestion_and_absorption	1.217	0.482	1.44	0.735	0.0406180073976292	0.0224976923889461	0.0700738142890396	0.339465509965345
Circadian_rhythm_plant	0.038	0.133	0.055	0.092	0.391273710302183	0.0580756707203832	0.462973081299965	0.45949712093884
Valine_leucine_and_isoleucine_degradation	2.877	0.094	2.824	0.112	0.0212697704405466	0.0107171070984098	0.0394013780292093	0.242206620424062
Starch_and_sucrose_metabolism	3.383	0.06	3.324	0.151	0.0026741888883198	0.856612785370568	0.00575587322628832	0.999973330728242
One_carbon_pool_by_folate	3.533	0.368	3.44	0.158	0.197930964217724	0.999841866382642	0.26626427329289	0.999973330728242
Carbon_fixation_pathways_in_prokaryotes	3.272	0.579	2.666	1.284	0.000591079590137273	0.999830409961047	0.00146795590517608	0.999973330728242
Notch_signaling_pathway	0.12	0.401	1.021	0.72	2.65750974171912e-13	0.154804804888973	3.75373251017826e-12	0.702680013458861
mRNA_surveillance_pathway	1.431	0.37	2.396	0.538	3.39038875421879e-17	0.906135287227258	9.57784823066809e-16	0.999973330728242
Endocytosis	0.778	0.566	2.245	0.725	8.20506673137244e-19	0.194438990196963	4.63586270322543e-17	0.775411088356425
Sulfur_relay_system	3.318	0.136	3.305	0.141	0.546591362985953	0.408111747436371	0.61457536335734	0.999973330728242
Selenocompound_metabolism	3.421	0.362	3.318	0.205	0.152186205405027	0.999857874770007	0.217684065959089	0.999973330728242
Zeatin_biosynthesis	3.045	0.332	2.812	0.805	0.0242509676947016	0.742486912927927	0.0434977674524013	0.999973330728242
Propanoate_metabolism	3.047	0.318	3.008	0.139	0.523028089747317	0.999866156246445	0.596991657994412	0.999973330728242
Chlorocyclohexane_and_chlorobenzene_degradation	1.678	0.865	1.106	1.139	0.00157685975480275	0.0675206641095968	0.00352841885728141	0.462414245114208
Pantothenate_and_CoA_biosynthesis	3.469	0.365	3.391	0.162	0.276694066679476	0.999847522450099	0.349345581394199	0.999973330728242
Flagellar_assembly	2.502	0.368	2.656	0.562	0.121297377330685	0.450233067515441	0.180872042786352	0.999973330728242
Pathogenic_Escherichia_coli_infection	0.419	0.31	0.483	0.419	0.374951137290969	0.141728481452373	0.448354269988143	0.692896680644674
Fatty_acid_metabolism	2.735	0.29	2.671	0.543	0.398793089640674	0.811386386672759	0.466980509112914	0.999973330728242
Oxidative_phosphorylation	3.024	0.054	3.049	0.1	0.0495317647732083	0.0472730219510666	0.0835386480503365	0.427348118437642
MAPK_signaling_pathway	0.569	0.404	1.599	0.551	1.11532691753274e-17	0.13904061224648	3.60091261946284e-16	0.692896680644674
Atrazine_degradation	2.12	0.371	1.838	0.606	0.000696449041698984	0.0492090345843237	0.00165681561498916	0.427740069848352
Ribosome_biogenesis_in_eukaryotes	2.029	0.261	2.26	0.343	0.000278435168047408	0.867063334810118	0.000731701720682725	0.999973330728242
Toluene_degradation	2.386	1.048	1.709	1.224	0.00139008957637152	0.0745286472666435	0.00314160244259964	0.463097435746523
Phototransduction_fly	0.069	0.234	0.334	0.479	0.000108372723868612	0.999860328443505	0.000330976156679816	0.999973330728242
Bacterial_chemotaxis	2.816	0.453	2.566	0.957	0.0554298722324111	0.99983778981405	0.0913095684735785	0.999973330728242
Bile_secretion	0.416	0.439	1.104	0.886	2.39292379968349e-07	0.99981703434944	1.22909267892834e-06	0.999973330728242
RNA_transport	2.139	0.155	2.387	0.218	7.57929612414565e-10	0.0393145986911716	5.90662387605833e-09	0.403868150191126
Type_I_diabetes_mellitus	0.105	0.391	0.335	0.722	0.0288839728232989	0.969451546946697	0.0513998256540594	0.999973330728242
Salivary_secretion	0.543	0.483	1.276	0.836	9.29839389967825e-08	0.999847095969469	5.00342147935068e-07	0.999973330728242
Chemokine_signaling_pathway	0.082	0.34	0.561	0.693	2.78152187734707e-06	0.926858221191789	1.1028490250534e-05	0.999973330728242
Glycosphingolipid_biosynthesis_lacto_and_neolacto_series	0.81	0.527	1.223	0.62	0.000752522440938833	0.999808507226882	0.00177156324637684	0.999973330728242
Geraniol_degradation	2.475	0.359	2.29	0.539	0.0336444502487795	0.767249479661127	0.0589429903583269	0.999973330728242
Cell_cycle_yeast	0.185	0.213	0.43	0.435	9.31237404527054e-05	0.142639529341592	0.000288300895100156	0.692896680644674
Vitamin_B6_metabolism	3.382	0.354	3.281	0.188	0.148561952811127	0.933618154606884	0.215224367534068	0.999973330728242
Pyruvate_metabolism	3.361	0.09	3.238	0.163	1.52121576829897e-06	0.999960402342975	6.48669365350127e-06	0.999973330728242
Phosphotransferase_system_PTS_	2.614	0.397	2.607	0.36	0.941124619478483	0.999845779016201	0.958081819829447	0.999973330728242
Insulin_signaling_pathway	1.564	0.288	1.633	0.33	0.27254994550068	0.746055611524465	0.348322646841737	0.999973330728242
Plant_pathogen_interaction	2.179	0.257	2.101	0.432	0.235922041613398	0.826787761322555	0.309990589561791	0.999973330728242
Methane_metabolism	2.973	0.375	2.724	0.521	0.00602998269129473	0.999843506764466	0.0126182971132649	0.999973330728242
ABC_transporters	2.952	0.065	2.986	0.106	0.0505502768124815	0.20647179155851	0.0840026658795648	0.777710414870386
beta_Alanine_metabolism	2.938	0.449	2.986	0.868	0.69377769621082	0.999843931088763	0.745080580338365	0.999973330728242
Citrate_cycle_TCA_cycle_	3.295	0.348	3.221	0.131	0.272801365004369	0.935131376677896	0.348322646841737	0.999973330728242
Ubiquinone_and_other_terpenoid_quinone_biosynthesis	2.926	0.347	3.254	0.265	2.07376957871508e-05	0.198297284401562	7.09205195358816e-05	0.775411088356425
Mismatch_repair	3.454	0.08	3.361	0.158	2.10251097739118e-05	0.169984314732431	7.09205195358816e-05	0.738777983260179
ECM_receptor_interaction	0.347	0.566	1.991	0.729	8.98801504120633e-21	0.13280992961126	2.03129139931263e-18	0.692896680644674
Dorso_ventral_axis_formation	0.325	0.446	0.818	0.658	1.12357145937718e-05	0.810471186570518	3.98850387870677e-05	0.999973330728242
Glycerophospholipid_metabolism	2.952	0.312	2.895	0.226	0.32078326289503	0.736986163225379	0.389768910829446	0.999973330728242
Spliceosome	1.042	0.32	1.713	0.518	1.15123371979607e-12	0.362808476059454	1.36936221407322e-11	0.999973330728242
Other_glycan_degradation	3.432	0.111	3.369	0.187	0.0228852684469688	0.148363718259197	0.0417102473307656	0.698545840137052
NOD_like_receptor_signaling_pathway	0.803	0.851	2.688	0.854	5.80539659207631e-18	0.00171808075099568	2.18669938301541e-16	0.112869244468387
Homologous_recombination	3.465	0.069	3.407	0.112	0.000763376912634759	0.50251853049077	0.0017785895077882	0.999973330728242
Fructose_and_mannose_metabolism	3.385	0.08	3.275	0.174	1.0812851153044e-05	0.86805884239856	3.9414586461096e-05	0.999973330728242
Metabolism_of_xenobiotics_by_cytochrome_P450	0.132	0.359	0.703	0.901	2.34438899357936e-06	0.999831198966591	9.63330750088972e-06	0.999973330728242
Dioxin_degradation	1.067	1.293	1.007	1.241	0.22434172317986	0.00234843405812477	0.296498417769873	0.112869244468387
Cytosolic_DNA_sensing_pathway	0.097	0.316	0.485	0.801	0.00019529868550122	0.999844695696942	0.000531777143653925	0.999973330728242
Autoimmune_thyroid_disease	0.065	0.411	0.502	1.004	0.00080123997688585	0.438152654954606	0.00184775749771635	0.999973330728242
Mucin_type_O_glycan_biosynthesis	0.201	0.46	0.866	0.679	5.40619835526235e-08	0.642374746184731	3.13282263663921e-07	0.999973330728242
Lysosome	1.236	0.33	1.653	0.434	5.91645906754309e-07	0.887767622455454	2.77987138747291e-06	0.999973330728242
Tropane_piperidine_and_pyridine_alkaloid_biosynthesis	0.902	0.415	0.691	0.38	0.00862051516099934	0.03076115276014	0.0177112402398714	0.365895817041665
mTOR_signaling_pathway	0.327	0.402	0.804	0.78	2.81331510672302e-05	0.567205570251908	9.08298877313431e-05	0.999973330728242
Various_types_of_N_glycan_biosynthesis	0.363	0.417	0.319	0.39	0.605045369259172	0.812341945585744	0.670295360061631	0.999973330728242
Tight_junction	0.359	0.721	2.326	0.974	5.2818203023556e-19	0.22284456213838	3.99538901741131e-17	0.786919860051156
Sulfur_metabolism	3.149	0.337	3.059	0.23	0.190459920254461	0.999868215150696	0.259300855286193	0.999973330728242
Pentose_phosphate_pathway	3.45	0.36	3.377	0.165	0.301597627800222	0.999871009551034	0.37451134001566	0.999973330728242
Base_excision_repair	3.236	0.335	3.207	0.112	0.619864882542715	0.841299711886282	0.683363236364164	0.999973330728242
Proximal_tubule_bicarbonate_reclamation	0.422	0.455	0.872	0.9	0.00061423665114128	0.622746324441407	0.00150888568649923	0.999973330728242
Carotenoid_biosynthesis	1.178	0.416	1.13	0.55	0.211089204815952	0.00428549869422049	0.280624472284736	0.121065338111729
RIG_I_like_receptor_signaling_pathway	0.615	0.304	1.123	0.556	1.23183302691821e-08	0.999835332341568	7.95412183095755e-08	0.999973330728242
Taurine_and_hypotaurine_metabolism	3.062	0.634	2.67	1.115	0.019371550731445	0.999835144881667	0.0371014446212421	0.999973330728242
Wnt_signaling_pathway	0.211	0.4	1.118	0.72	4.61725283550366e-13	0.518620026644532	6.13823024014016e-12	0.999973330728242
Vascular_smooth_muscle_contraction	0.19	0.534	1.125	1.351	3.79713130356932e-07	0.999831268869095	1.86554711871014e-06	0.999973330728242
Amoebiasis	0.819	0.376	1.012	0.637	0.0474752900885033	0.999834932202168	0.0806722974436222	0.999973330728242
Parkinson_s_disease	0.775	0.384	1.197	0.87	0.000339048263816632	0.999846237848948	0.000880746064627113	0.999973330728242
Histidine_metabolism	3.427	0.358	3.319	0.227	0.132338666207383	0.929801321071317	0.195480644201755	0.999973330728242
Regulation_of_autophagy	0.186	0.366	0.865	0.73	2.9566404833602e-09	0.999847009727941	1.96529632129237e-08	0.999973330728242
Natural_killer_cell_mediated_cytotoxicity	0.156	0.435	1.313	0.826	8.91570682039019e-16	0.275623408001371	1.67912478450682e-14	0.902766524758113
Photosynthesis	0.681	0.469	0.694	0.464	0.852004839231989	0.218548895255305	0.883903431611014	0.784000798852365
Sphingolipid_metabolism	2.928	0.313	2.799	0.575	0.119384302607968	0.915136176474912	0.179872349262671	0.999973330728242
Thiamine_metabolism	3.528	0.097	3.429	0.151	7.1985321349348e-05	0.510074000544865	0.000225953925346564	0.999973330728242
Phosphonate_and_phosphinate_metabolism	2.602	0.417	2.337	0.692	0.0138034490729923	0.99982553041914	0.0268929266422092	0.999973330728242
Epithelial_cell_signaling_in_Helicobacter_pylori_infection	2.215	0.237	2.125	0.156	0.0500745020157333	0.583750811354303	0.0838284255967092	0.999973330728242
Arginine_and_proline_metabolism	3.2	0.327	3.225	0.105	0.695628329430952	0.933849965108097	0.745080580338365	0.999973330728242
Glycerolipid_metabolism	2.865	0.31	2.846	0.165	0.665122320290364	0.613347199789241	0.719223178878575	0.999973330728242
Basal_transcription_factors	0.323	0.588	1.068	0.846	6.02715477814923e-07	0.182370371646573	2.77987138747291e-06	0.753804152762066
Amyotrophic_lateral_sclerosis_ALS_	0.74	0.315	1.191	0.611	1.10719814093637e-06	0.999875746712938	4.81205345868501e-06	0.999973330728242
Tryptophan_metabolism	2.506	0.293	2.753	0.25	0.000133674731442002	0.699026026087928	0.000392344016959643	0.999973330728242
beta_Lactam_resistance	1.798	0.6	2.075	0.49	0.085829028720838	0.239554343384615	0.133774899937306	0.820292145529136
RNA_polymerase	3.056	0.099	2.976	0.176	0.00160739818622443	0.101765433512168	0.00356149009888942	0.574974699343748
Limonene_and_pinene_degradation	2.427	0.838	2.002	1.194	0.0238031629362486	0.409929336115649	0.0430361185887374	0.999973330728242
Cytokine_cytokine_receptor_interaction	0.096	0.323	0.892	0.787	1.14057549836534e-11	0.997832370271614	1.22747648871698e-10	0.999973330728242
Purine_metabolism	3.223	0.33	3.211	0.107	0.852614814562836	0.999873850352329	0.883903431611014	0.999973330728242
Axon_guidance	0.309	0.417	1.178	0.673	1.06640600640276e-12	0.289430878882715	1.3389319858168e-11	0.934448266107052
Nicotinate_and_nicotinamide_metabolism	3.347	0.088	3.266	0.153	0.000155885061862206	0.0670449052421935	0.000440375299760732	0.462414245114208
Xylene_degradation	0.132	0.273	0.183	0.24	0.380788500001934	0.183447913282804	0.452937900002301	0.753804152762066
Nucleotide_excision_repair	3.112	0.324	3.047	0.124	0.275062216818349	0.803106719235893	0.349236297758129	0.999973330728242
Glycine_serine_and_threonine_metabolism	3.351	0.11	3.217	0.169	3.79736764997618e-06	0.637345993039699	1.47966394637003e-05	0.999973330728242
Lysine_biosynthesis	3.446	0.361	3.352	0.198	0.191617756645123	0.999826377484961	0.259315047914957	0.999973330728242
Taste_transduction	0.338	0.321	1.05	0.629	5.346795383589e-12	0.105967798151512	6.04187878345557e-11	0.584115180054674
Naphthalene_degradation	2.154	1.331	2.163	1.295	0.964223980063751	0.480428462842641	0.96752221925895	0.999973330728242
Lipoic_acid_metabolism	3.319	0.413	3.592	0.371	0.000944024428712623	0.0250608381472543	0.00215504566554599	0.353984338829967
Glycosylphosphatidylinositol_GPI_anchor_biosynthesis	1.205	0.417	1.832	0.464	8.54579679156237e-10	0.999849399424079	6.23016153191321e-09	0.999973330728242
Ubiquitin_mediated_proteolysis	0.903	0.354	1.535	0.438	1.88352327636063e-11	0.981453423907517	1.93489209298864e-10	0.999973330728242
Terpenoid_backbone_biosynthesis	3.342	0.349	3.303	0.164	0.518243272542791	0.787687287316584	0.594532891343506	0.999973330728242
Retinol_metabolism	1.474	0.444	1.823	0.481	0.000579954747317699	0.89693504716895	0.00145633080993111	0.999973330728242
MAPK_signaling_pathway_yeast	0.703	0.201	0.672	0.265	0.418743597448783	0.0696094477725685	0.487814706306315	0.462698094017661
Staphylococcus_aureus_infection	1.666	0.243	1.864	0.451	0.00390298936228858	0.4913581039551	0.00832146788563414	0.999973330728242
Aldosterone_regulated_sodium_reabsorption	0.179	0.483	0.651	0.959	0.000489715624252139	0.343418180286773	0.00124354754023577	0.999973330728242
Brassinosteroid_biosynthesis	1.095	0.426	0.79	0.624	0.0026486868138069	0.562798827679438	0.00575580019154191	0.999973330728242
Circadian_rhythm_fly	0.224	0.638	1.756	0.865	9.14364080141938e-17	0.0646841114445867	2.21867500515804e-15	0.462414245114208
Non_homologous_end_joining	0.44	0.641	0.764	0.845	0.0346923911177538	0.349882242515069	0.0603113876354796	0.999973330728242
Cysteine_and_methionine_metabolism	3.397	0.072	3.398	0.133	0.865879924632639	0.174739226051616	0.893556451904001	0.745114435616326
Apoptosis	1.478	0.378	1.629	0.327	0.0969852129647339	0.317934756400505	0.14910651789136	0.970989931709649
Calcium_signaling_pathway	0.487	0.528	1.084	1.164	0.000212672303363289	0.999810564993675	0.000572189768572658	0.999973330728242
Phenylalanine_tyrosine_and_tryptophan_biosynthesis	3.333	0.35	3.21	0.205	0.0795724858119662	0.999873791702516	0.126643533757073	0.999973330728242
Systemic_lupus_erythematosus	0.231	0.399	1.054	0.848	3.19571099453213e-10	0.999823485056974	2.77781032601639e-09	0.999973330728242
Arrhythmogenic_right_ventricular_cardiomyopathy_ARVC_	0.087	0.322	0.494	0.813	0.000138017488359827	0.999805279311688	0.000399896825247704	0.999973330728242
Penicillin_and_cephalosporin_biosynthesis	2.18	0.453	1.993	0.714	0.110753567875883	0.0025918790628654	0.169123691486145	0.112869244468387
Lysine_degradation	2.585	0.274	2.757	0.146	0.00199743001331432	0.999853588861951	0.00438271051465084	0.999973330728242
Inositol_phosphate_metabolism	2.66	0.285	2.584	0.2	0.180138110942938	0.764437564652107	0.248239104104293	0.999973330728242
Cyanoamino_acid_metabolism	2.705	1.196	2.453	1.309	0.338458134446262	0.999779700759724	0.407323581019243	0.999973330728242
Hedgehog_signaling_pathway	0.13	0.357	0.702	0.753	1.94228890000676e-07	0.531450720085221	1.02083091023611e-06	0.999973330728242
Cell_cycle_Caulobacter	3.287	0.342	3.23	0.172	0.398054126470167	0.999872929726495	0.466980509112914	0.999973330728242
C5_Branched_dibasic_acid_metabolism	3.222	0.825	2.864	1.093	0.0651070213697067	0.999780664149994	0.105857459205422	0.999973330728242
Vasopressin_regulated_water_reabsorption	0.543	0.466	0.841	0.74	0.0116318744363889	0.966612273590968	0.0230596809002095	0.999973330728242
Insect_hormone_biosynthesis	0.068	0.149	0.056	0.168	0.708857533566894	0.999893256530425	0.755668880123198	0.999973330728242
Proteasome	0.649	0.517	1.092	0.621	0.000216945197556221	0.305068933646342	0.000576818995855364	0.951346194747499
Protein_digestion_and_absorption	2.151	0.307	2.432	0.268	1.86352124952149e-05	0.0589620199434795	6.47932003679781e-05	0.45949712093884
Dilated_cardiomyopathy_DCM_	0.026	0.212	0.076	0.281	0.30852200602495	0.999895099649243	0.381016247877807	0.999973330728242
p53_signaling_pathway	0.392	0.484	1.351	0.985	3.4692873506584e-10	0.999809109781724	2.90392200462518e-09	0.999973330728242
Protein_export	3.33	0.341	3.361	0.11	0.646151247958327	0.999864483763549	0.702801352854808	0.999973330728242
Amino_sugar_and_nucleotide_sugar_metabolism	3.378	0.091	3.287	0.18	0.00046322693617131	0.999918239823898	0.00118965099516723	0.999973330728242
Renin_angiotensin_system	1.13	0.322	1.337	0.507	0.0102790843402121	0.999848043331933	0.0207417237579279	0.999973330728242
Biotin_metabolism	3.428	0.367	3.314	0.234	0.11571993312223	0.724332744218591	0.175521509299489	0.999973330728242
Hematopoietic_cell_lineage	0.123	0.44	0.721	0.949	2.59988087508373e-06	0.062506281129836	1.04923763887308e-05	0.462414245114208
Phototransduction	0.149	0.367	0.811	0.819	1.70036416496018e-08	0.398976139979631	1.06745083689167e-07	0.999973330728242
Synthesis_and_degradation_of_ketone_bodies	2.571	0.499	2.558	0.745	0.901355616124067	0.779711257363966	0.921748277122349	0.999973330728242
Valine_leucine_and_isoleucine_biosynthesis	3.593	0.378	3.484	0.152	0.14412451118214	0.99985592340612	0.21014283565912	0.999973330728242
Viral_myocarditis	0.143	0.49	1.132	1.119	1.90791173858286e-09	0.999820138494203	1.30663046339311e-08	0.999973330728242
Primary_bile_acid_biosynthesis	0.148	0.413	0.438	0.801	0.0113674534347918	0.999852693281464	0.0227349068695836	0.999973330728242
Oocyte_meiosis	0.175	0.347	0.617	0.755	2.16712238282443e-05	0.999844248028583	7.20249497821059e-05	0.999973330728242
Pyrimidine_metabolism	3.385	0.086	3.287	0.127	5.78993998355889e-06	0.226695854994654	2.18087739380718e-05	0.788204049673719
Protein_processing_in_endoplasmic_reticulum	2.023	0.168	2.087	0.13	0.0713310694336772	0.533472439894052	0.115148726371507	0.999973330728242
Glycosaminoglycan_biosynthesis_heparan_sulfate	0.258	0.523	1.333	0.615	2.75849764512613e-14	0.200803508032408	4.15613645199003e-13	0.775411088356425
Ribosome	3.501	0.368	3.484	0.121	0.75257792764702	0.66037879400957	0.796547751861327	0.999973330728242
Caprolactam_degradation	1.925	0.463	1.906	0.496	0.272150304771203	0.000447079981652213	0.348322646841737	0.1010400758534
Butanoate_metabolism	3.082	0.323	3.043	0.158	0.537628032429783	0.99983784693542	0.607519676645655	0.999973330728242
Cell_cycle	0.303	0.573	1.374	1.106	8.96855323428506e-10	0.411876447410919	6.33404072171382e-09	0.999973330728242
Regulation_of_actin_cytoskeleton	0.614	0.763	2.411	0.746	2.99965715041528e-18	0.214258100205326	1.35584503198771e-16	0.781005333006512
Bacterial_invasion_of_epithelial_cells	1.305	0.384	1.898	0.314	2.7329149944048e-10	0.00349595004990581	2.47055515494194e-09	0.112869244468387
Other_types_of_O_glycan_biosynthesis	0.796	0.405	1.165	0.566	0.000112214258501509	0.729812659495012	0.000338138965617881	0.999973330728242
Plant_hormone_signal_transduction	0.62	0.231	0.625	0.25	0.765552089059784	0.0866151926795245	0.804719870360518	0.501923937065962
RNA_degradation	3.109	0.077	3.015	0.124	3.97762620669213e-06	0.275570277611491	1.52363308934309e-05	0.902766524758113
Flavonoid_biosynthesis	1.546	0.449	1.442	0.79	0.176489591303968	0.0849342947716296	0.244703359722067	0.501923937065962
alpha_Linolenic_acid_metabolism	1.492	0.535	1.519	0.783	0.831218528974268	0.840304006561839	0.869700868278633	0.999973330728242
Glyoxylate_and_dicarboxylate_metabolism	3.093	0.069	2.982	0.172	2.04826582344369e-06	0.999973330728242	8.57237177959765e-06	0.999973330728242
Cell_adhesion_molecules_CAMs_	1.473	0.692	2.988	0.79	9.8171460405223e-17	0.166544911905515	2.21867500515804e-15	0.738022550796988
Pathways_in_cancer	0.367	0.329	0.879	0.708	6.41428313906862e-07	0.999815243577037	2.89925597885901e-06	0.999973330728242
Arachidonic_acid_metabolism	1.788	0.483	2.574	0.413	3.63454996245353e-11	0.00971411754431825	3.42253454797708e-10	0.242206620424062
Phenylalanine_metabolism	2.779	0.288	2.816	0.096	0.53022410971106	0.863098311179995	0.602164064294972	0.999973330728242
Glycosphingolipid_biosynthesis_ganglio_series	0.138	0.338	0.702	1.009	7.82760861996373e-06	0.999846200433139	2.90006483297017e-05	0.999973330728242
