wgs	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Individual p-value	Origin (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Streptomycin_biosynthesis	3.468	0.374	3.359	0.261	0.141	0.869	0.2115	1	0.02	0.044
Nitrotoluene_degradation	2.624	0.369	2.342	0.786	0.00913	1	0.0195255445544554	1	0.055	0.055
Polycyclic_aromatic_hydrocarbon_degradation	1.445	1.38	1.385	1.356	0.257	0.0378	0.340564417177914	0.403718181818182	0.01	0.23
Glutathione_metabolism	2.896	0.334	3.2	0.275	2.79e-05	0.21	0.00010116	0.778032786885246	0.134	0.264
Ethylbenzene_degradation	0.168	0.24	0.255	0.358	0.315	0.0276	0.3888	0.356577777777778	0.019	0.192
Steroid_biosynthesis	1.031	0.557	1.272	0.506	0.122	0.00285	0.185577464788732	0.113	0.051	0.357
Complement_and_coagulation_cascades	0.514	0.402	1.295	0.811	8.24e-10	1	8.79428571428572e-09	1	0.283	0.283
Peroxisome	1.835	0.257	1.988	0.295	0.00831	1	0.0181309090909091	1	0.071	0.071
DNA_replication	3.33	0.347	3.266	0.149	0.311	0.785	0.386068965517241	1	0.016	0.063
D_Alanine_metabolism	3.41	0.375	3.257	0.453	0.0735	0.943	0.121190839694656	1	0.026	0.034
Two_component_system	2.956	0.11	2.917	0.202	0.187	1	0.260593548387097	1	0.015	0.015
Antigen_processing_and_presentation	0.067	0.292	0.668	0.952	5.72e-07	1	3.33924324324324e-06	1	0.196	0.196
Biosynthesis_of_type_II_polyketide_backbone	0.681	0.466	0.508	0.579	0.0852	0.0758	0.13728	0.462994594594595	0.027	0.186
Phagosome	0.782	0.698	2.293	0.78	2.1e-15	0.967	1.512e-13	1	0.451	0.453
Folate_biosynthesis	3.331	0.354	3.252	0.227	0.261	0.883	0.343756097560976	1	0.014	0.036
Toxoplasmosis	0.138	0.301	0.456	0.56	0.000152	1	0.000475826086956522	1	0.12	0.12
Benzoate_degradation	2.573	0.343	2.501	0.37	0.339	1	0.411370786516854	1	0.011	0.011
Phenylpropanoid_biosynthesis	0.259	0.161	0.337	0.273	0.282	0.00325	0.358305882352941	0.113	0.012	0.269
Hepatitis_C	0.116	0.363	0.275	0.466	0.041	0.0359	0.0725901639344262	0.403718181818182	0.031	0.259
Biosynthesis_of_siderophore_group_nonribosomal_peptides	1.769	0.398	1.997	0.339	0.0209	0.144	0.0406702702702703	0.692425531914894	0.045	0.212
Chloroalkane_and_chloroalkene_degradation	2.857	0.604	2.467	1.022	0.0132	1	0.0271542857142857	1	0.049	0.049
Meiosis_yeast	0.767	0.249	0.811	0.319	0.647	0.0225	0.705818181818182	0.339	0.004	0.227
Olfactory_transduction	0.136	0.388	1.147	0.744	3.89e-15	0.369	2.1006e-13	1	0.435	0.485
Nitrogen_metabolism	3.082	0.106	2.979	0.169	0.000187	1	0.000561	1	0.111	0.111
Bacterial_secretion_system	3.126	0.153	2.993	0.345	0.00445	1	0.00990927835051546	1	0.065	0.065
Shigellosis	0.034	0.093	0.071	0.211	0.17	0.0126	0.24317880794702	0.258872727272727	0.027	0.211
Porphyrin_and_chlorophyll_metabolism	3.095	0.131	3.019	0.211	0.0217	0.0529	0.0414796460176991	0.442792592592593	0.04	0.208
D_Glutamine_and_D_glutamate_metabolism	3.61	0.384	3.572	0.137	0.487	0.49	0.565548387096774	1	0.013	0.126
Alanine_aspartate_and_glutamate_metabolism	3.518	0.367	3.42	0.16	0.172	1	0.244421052631579	1	0.02	0.02
Riboflavin_metabolism	3.333	0.151	3.192	0.27	0.000632	0.821	0.00164472289156626	1	0.092	0.111
Neuroactive_ligand_receptor_interaction	0.381	0.538	1.814	0.744	<2e-16	0.0448	NA	0.427592	0.515	0.623
Pancreatic_secretion	0.233	0.47	0.743	0.882	0.000116	1	0.000379636363636364	1	0.119	0.119
Biosynthesis_of_12_14_and_16_membered_macrolides	0.363	0.307	0.363	0.355	0.951	0.629	0.961906542056075	1	0.003	0.048
Galactose_metabolism	3.288	0.338	3.296	0.137	0.968	0.72	0.968	1	0.004	0.069
Steroid_hormone_biosynthesis	2.095	0.325	2.059	0.226	0.466	0.021	0.544086486486486	0.339	0.004	0.293
Gastric_acid_secretion	0.27	0.564	1.325	1.04	5.27e-10	0.264	6.324e-09	0.890507462686567	0.286	0.359
Aminoacyl_tRNA_biosynthesis	3.554	0.084	3.484	0.122	0.000662	0.339	0.00170228571428571	1	0.11	0.205
Carbohydrate_digestion_and_absorption	1.217	0.482	1.44	0.735	0.0406	0.0225	0.0724760330578512	0.339	0.031	0.249
Circadian_rhythm_plant	0.038	0.133	0.055	0.092	0.391	0.0581	0.46660773480663	0.459793103448276	0.005	0.264
Valine_leucine_and_isoleucine_degradation	2.877	0.094	2.824	0.112	0.0213	0.0107	0.0410785714285714	0.24182	0.039	0.27
Starch_and_sucrose_metabolism	3.383	0.06	3.324	0.151	0.00267	0.857	0.00607073684210526	1	0.081	0.094
One_carbon_pool_by_folate	3.533	0.368	3.44	0.158	0.198	1	0.270683544303797	1	0.018	0.018
Carbon_fixation_pathways_in_prokaryotes	3.272	0.579	2.666	1.284	0.000591	1	0.001576	1	0.093	0.093
Notch_signaling_pathway	0.12	0.401	1.021	0.72	2.66e-13	0.155	9.576e-12	0.7006	0.383	0.468
mRNA_surveillance_pathway	1.431	0.37	2.396	0.538	<2e-16	0.906	NA	1	0.489	0.495
Endocytosis	0.778	0.566	2.245	0.725	<2e-16	0.194	NA	0.773762711864407	0.525	0.592
Sulfur_relay_system	3.318	0.136	3.305	0.141	0.547	0.408	0.618596858638744	1	0.003	0.094
Selenocompound_metabolism	3.421	0.362	3.318	0.205	0.152	1	0.221837837837838	1	0.025	0.025
Zeatin_biosynthesis	3.045	0.332	2.812	0.805	0.0243	0.742	0.045248275862069	1	0.045	0.07
Propanoate_metabolism	3.047	0.318	3.008	0.139	0.523	1	0.600893617021277	1	0.01	0.01
Chlorocyclohexane_and_chlorobenzene_degradation	1.678	0.865	1.106	1.139	0.00158	0.0675	0.00375032967032967	0.462272727272727	0.077	0.224
Pantothenate_and_CoA_biosynthesis	3.469	0.365	3.391	0.162	0.277	1	0.35403550295858	1	0.016	0.016
Flagellar_assembly	2.502	0.368	2.656	0.562	0.121	0.45	0.18536170212766	1	0.019	0.091
Pathogenic_Escherichia_coli_infection	0.419	0.31	0.483	0.419	0.375	0.142	0.452513966480447	0.692425531914894	0.007	0.159
Fatty_acid_metabolism	2.735	0.29	2.671	0.543	0.399	0.811	0.470950819672131	1	0.007	0.027
Oxidative_phosphorylation	3.024	0.054	3.049	0.1	0.0495	0.0473	0.0862258064516129	0.427592	0.03	0.192
MAPK_signaling_pathway	0.569	0.404	1.599	0.551	<2e-16	0.139	NA	0.692425531914894	0.491	0.579
Atrazine_degradation	2.12	0.371	1.838	0.606	0.000696	0.0492	0.00176865882352941	0.427661538461538	0.099	0.267
Ribosome_biogenesis_in_eukaryotes	2.029	0.261	2.26	0.343	0.000278	0.867	0.000790105263157895	1	0.107	0.125
Toluene_degradation	2.386	1.048	1.709	1.224	0.00139	0.0745	0.003336	0.462994594594595	0.08	0.244
Phototransduction_fly	0.069	0.234	0.334	0.479	0.000108	1	0.0003645	1	0.13	0.13
Bacterial_chemotaxis	2.816	0.453	2.566	0.957	0.0554	1	0.0941625	1	0.031	0.031
Bile_secretion	0.416	0.439	1.104	0.886	2.39e-07	1	1.51835294117647e-06	1	0.212	0.212
RNA_transport	2.139	0.155	2.387	0.218	7.58e-10	0.0393	8.61726315789474e-09	0.403718181818182	0.271	0.427
Type_I_diabetes_mellitus	0.105	0.391	0.335	0.722	0.0289	0.969	0.0533538461538462	1	0.044	0.047
Salivary_secretion	0.543	0.483	1.276	0.836	9.3e-08	1	6.2775e-07	1	0.22	0.22
Chemokine_signaling_pathway	0.082	0.34	0.561	0.693	2.78e-06	0.927	1.2776170212766e-05	1	0.173	0.179
Glycosphingolipid_biosynthesis_lacto_and_neolacto_series	0.81	0.527	1.223	0.62	0.000753	1	0.00189125581395349	1	0.092	0.092
Geraniol_degradation	2.475	0.359	2.29	0.539	0.0336	0.767	0.0609882352941176	1	0.047	0.077
Cell_cycle_yeast	0.185	0.213	0.43	0.435	9.31e-05	0.143	0.0003192	0.692425531914894	0.12	0.231
Vitamin_B6_metabolism	3.382	0.354	3.281	0.188	0.149	0.934	0.220438356164384	1	0.019	0.035
Pyruvate_metabolism	3.361	0.09	3.238	0.163	1.52e-06	1	7.6353488372093e-06	1	0.181	0.181
Phosphotransferase_system_PTS_	2.614	0.397	2.607	0.36	0.941	1	0.958754716981132	1	0.005	0.005
Insulin_signaling_pathway	1.564	0.288	1.633	0.33	0.273	0.746	0.353101796407186	1	0.012	0.043
Plant_pathogen_interaction	2.179	0.257	2.101	0.432	0.236	0.827	0.314666666666667	1	0.011	0.031
Methane_metabolism	2.973	0.375	2.724	0.521	0.00603	1	0.013290612244898	1	0.061	0.061
ABC_transporters	2.952	0.065	2.986	0.106	0.0506	0.206	0.0867428571428571	0.775933333333333	0.032	0.137
beta_Alanine_metabolism	2.938	0.449	2.986	0.868	0.694	1	0.747940298507463	1	0.005	0.005
Citrate_cycle_TCA_cycle_	3.295	0.348	3.221	0.131	0.273	0.935	0.353101796407186	1	0.013	0.031
Ubiquinone_and_other_terpenoid_quinone_biosynthesis	2.926	0.347	3.254	0.265	2.07e-05	0.198	7.9578947368421e-05	0.773762711864407	0.138	0.274
Mismatch_repair	3.454	0.08	3.361	0.158	2.1e-05	0.17	7.9578947368421e-05	0.738846153846154	0.141	0.242
ECM_receptor_interaction	0.347	0.566	1.991	0.729	<2e-16	0.133	NA	0.692425531914894	0.561	0.638
Dorso_ventral_axis_formation	0.325	0.446	0.818	0.658	1.12e-05	0.81	4.52e-05	1	0.171	0.188
Glycerophospholipid_metabolism	2.952	0.312	2.895	0.226	0.321	0.737	0.393954545454545	1	0.013	0.061
Spliceosome	1.042	0.32	1.713	0.518	1.15e-12	0.363	2.76e-11	1	0.37	0.431
Other_glycan_degradation	3.432	0.111	3.369	0.187	0.0229	0.148	0.0433894736842105	0.696833333333333	0.044	0.178
NOD_like_receptor_signaling_pathway	0.803	0.851	2.688	0.854	<2e-16	0.00172	NA	0.113	0.462	0.651
Homologous_recombination	3.465	0.069	3.407	0.112	0.000763	0.503	0.00189434482758621	1	0.092	0.148
Fructose_and_mannose_metabolism	3.385	0.08	3.275	0.174	1.08e-05	0.868	4.48615384615385e-05	1	0.152	0.164
Metabolism_of_xenobiotics_by_cytochrome_P450	0.132	0.359	0.703	0.901	2.34e-06	1	1.1232e-05	1	0.189	0.189
Dioxin_degradation	1.067	1.293	1.007	1.241	0.224	0.00235	0.300521739130435	0.113	0.023	0.31
Cytosolic_DNA_sensing_pathway	0.097	0.316	0.485	0.801	0.000195	1	0.000576986301369863	1	0.124	0.124
Autoimmune_thyroid_disease	0.065	0.411	0.502	1.004	0.000801	0.438	0.00196609090909091	1	0.089	0.149
Mucin_type_O_glycan_biosynthesis	0.201	0.46	0.866	0.679	5.41e-08	0.642	4.02951724137931e-07	1	0.229	0.263
Lysosome	1.236	0.33	1.653	0.434	5.92e-07	0.888	3.33969230769231e-06	1	0.195	0.208
Tropane_piperidine_and_pyridine_alkaloid_biosynthesis	0.902	0.415	0.691	0.38	0.00862	0.0308	0.0186192	0.366357894736842	0.053	0.271
mTOR_signaling_pathway	0.327	0.402	0.804	0.78	2.81e-05	0.567	0.00010116	1	0.187	0.231
Various_types_of_N_glycan_biosynthesis	0.363	0.417	0.319	0.39	0.605	0.812	0.67360824742268	1	0.016	0.044
Tight_junction	0.359	0.721	2.326	0.974	<2e-16	0.223	NA	0.78746875	0.526	0.59
Sulfur_metabolism	3.149	0.337	3.059	0.23	0.19	1	0.263076923076923	1	0.021	0.021
Pentose_phosphate_pathway	3.45	0.36	3.377	0.165	0.302	1	0.379255813953488	1	0.013	0.013
Base_excision_repair	3.236	0.335	3.207	0.112	0.62	0.841	0.686571428571428	1	0.009	0.049
Proximal_tubule_bicarbonate_reclamation	0.422	0.455	0.872	0.9	0.000614	0.623	0.00161736585365854	1	0.095	0.135
Carotenoid_biosynthesis	1.178	0.416	1.13	0.55	0.211	0.00429	0.28485	0.1211925	0.028	0.259
RIG_I_like_receptor_signaling_pathway	0.615	0.304	1.123	0.556	1.23e-08	1	1.06272e-07	1	0.254	0.254
Taurine_and_hypotaurine_metabolism	3.062	0.634	2.67	1.115	0.0194	1	0.0388	1	0.046	0.046
Wnt_signaling_pathway	0.211	0.4	1.118	0.72	4.62e-13	0.519	1.4256e-11	1	0.383	0.421
Vascular_smooth_muscle_contraction	0.19	0.534	1.125	1.351	3.8e-07	1	2.28e-06	1	0.206	0.206
Amoebiasis	0.819	0.376	1.012	0.637	0.0475	1	0.0834146341463415	1	0.035	0.035
Parkinson_s_disease	0.775	0.384	1.197	0.87	0.000339	1	0.000950961038961039	1	0.119	0.119
Histidine_metabolism	3.427	0.358	3.319	0.227	0.132	0.93	0.199384615384615	1	0.026	0.039
Regulation_of_autophagy	0.186	0.366	0.865	0.73	2.96e-09	1	2.664e-08	1	0.265	0.265
Natural_killer_cell_mediated_cytotoxicity	0.156	0.435	1.313	0.826	8.92e-16	0.276	9.6336e-14	0.904	0.452	0.514
Photosynthesis	0.681	0.469	0.694	0.464	0.852	0.219	0.885807692307692	0.785619047619048	0.007	0.134
Sphingolipid_metabolism	2.928	0.313	2.799	0.575	0.119	0.915	0.1836	1	0.029	0.039
Thiamine_metabolism	3.528	0.097	3.429	0.151	7.2e-05	0.51	0.000250838709677419	1	0.123	0.179
Phosphonate_and_phosphinate_metabolism	2.602	0.417	2.337	0.692	0.0138	1	0.0281207547169811	1	0.049	0.049
Epithelial_cell_signaling_in_Helicobacter_pylori_infection	2.215	0.237	2.125	0.156	0.0501	0.584	0.0865728	1	0.035	0.111
Arginine_and_proline_metabolism	3.2	0.327	3.225	0.105	0.696	0.934	0.747940298507463	1	0.004	0.022
Glycerolipid_metabolism	2.865	0.31	2.846	0.165	0.665	0.613	0.721809045226131	1	0.012	0.082
Basal_transcription_factors	0.323	0.588	1.068	0.846	6.03e-07	0.182	3.33969230769231e-06	0.751963636363636	0.19	0.294
Amyotrophic_lateral_sclerosis_ALS_	0.74	0.315	1.191	0.611	1.11e-06	1	5.70857142857143e-06	1	0.193	0.193
Tryptophan_metabolism	2.506	0.293	2.753	0.25	0.000134	0.699	0.000432	1	0.115	0.16
beta_Lactam_resistance	1.798	0.6	2.075	0.49	0.0858	0.24	0.13728	0.821818181818182	0.031	0.159
RNA_polymerase	3.056	0.099	2.976	0.176	0.00161	0.102	0.00378	0.5763	0.077	0.218
Limonene_and_pinene_degradation	2.427	0.838	2.002	1.194	0.0238	0.41	0.0447026086956522	1	0.044	0.122
Cytokine_cytokine_receptor_interaction	0.096	0.323	0.892	0.787	1.14e-11	0.998	2.23854545454545e-10	1	0.341	0.342
Purine_metabolism	3.223	0.33	3.211	0.107	0.853	1	0.885807692307692	1	0.005	0.005
Axon_guidance	0.309	0.417	1.178	0.673	1.07e-12	0.289	2.76e-11	0.933057142857143	0.369	0.441
Nicotinate_and_nicotinamide_metabolism	3.347	0.088	3.266	0.153	0.000156	0.067	0.000481371428571429	0.462272727272727	0.109	0.27
Xylene_degradation	0.132	0.273	0.183	0.24	0.381	0.183	0.4572	0.751963636363636	0.021	0.165
Nucleotide_excision_repair	3.112	0.324	3.047	0.124	0.275	0.803	0.353571428571429	1	0.016	0.06
Glycine_serine_and_threonine_metabolism	3.351	0.11	3.217	0.169	3.8e-06	0.637	1.71e-05	1	0.168	0.208
Lysine_biosynthesis	3.446	0.361	3.352	0.198	0.192	1	0.264152866242038	1	0.019	0.019
Taste_transduction	0.338	0.321	1.05	0.629	5.35e-12	0.106	1.1556e-10	0.584292682926829	0.34	0.443
Naphthalene_degradation	2.154	1.331	2.163	1.295	0.964	0.48	0.968	1	0.004	0.066
Lipoic_acid_metabolism	3.319	0.413	3.592	0.371	0.000944	0.0251	0.00229105617977528	0.3545375	0.079	0.324
Glycosylphosphatidylinositol_GPI_anchor_biosynthesis	1.205	0.417	1.832	0.464	8.55e-10	1	8.79428571428572e-09	1	0.31	0.31
Ubiquitin_mediated_proteolysis	0.903	0.354	1.535	0.438	1.88e-11	0.981	3.384e-10	1	0.334	0.337
Terpenoid_backbone_biosynthesis	3.342	0.349	3.303	0.164	0.518	0.788	0.598331550802139	1	0.01	0.056
Retinol_metabolism	1.474	0.444	1.823	0.481	0.00058	0.897	0.001566	1	0.093	0.105
MAPK_signaling_pathway_yeast	0.703	0.201	0.672	0.265	0.419	0.0696	0.491869565217391	0.462635294117647	0.005	0.181
Staphylococcus_aureus_infection	1.666	0.243	1.864	0.451	0.0039	0.491	0.008775	1	0.066	0.121
Aldosterone_regulated_sodium_reabsorption	0.179	0.483	0.651	0.959	0.00049	0.343	0.00133974683544304	1	0.096	0.179
Brassinosteroid_biosynthesis	1.095	0.426	0.79	0.624	0.00265	0.563	0.00607073684210526	1	0.075	0.136
Circadian_rhythm_fly	0.224	0.638	1.756	0.865	<2e-16	0.0647	NA	0.462272727272727	0.463	0.57
Non_homologous_end_joining	0.44	0.641	0.764	0.845	0.0347	0.35	0.06246	1	0.053	0.137
Cysteine_and_methionine_metabolism	3.397	0.072	3.398	0.133	0.866	0.175	0.894857142857143	0.74622641509434	0.041	0.159
Apoptosis	1.478	0.378	1.629	0.327	0.097	0.318	0.152934306569343	0.971189189189189	0.037	0.137
Calcium_signaling_pathway	0.487	0.528	1.084	1.164	0.000213	1	0.00062172972972973	1	0.109	0.109
Phenylalanine_tyrosine_and_tryptophan_biosynthesis	3.333	0.35	3.21	0.205	0.0796	1	0.130254545454545	1	0.029	0.029
Systemic_lupus_erythematosus	0.231	0.399	1.054	0.848	3.2e-10	1	4.32e-09	1	0.296	0.296
Arrhythmogenic_right_ventricular_cardiomyopathy_ARVC_	0.087	0.322	0.494	0.813	0.000138	1	0.000438352941176471	1	0.121	0.121
Penicillin_and_cephalosporin_biosynthesis	2.18	0.453	1.993	0.714	0.111	0.00259	0.173739130434783	0.113	0.019	0.272
Lysine_degradation	2.585	0.274	2.757	0.146	0.002	1	0.00464516129032258	1	0.09	0.09
Inositol_phosphate_metabolism	2.66	0.285	2.584	0.2	0.18	0.764	0.252467532467532	1	0.019	0.063
Cyanoamino_acid_metabolism	2.705	1.196	2.453	1.309	0.338	1	0.411370786516854	1	0.012	0.012
Hedgehog_signaling_pathway	0.13	0.357	0.702	0.753	1.94e-07	0.531	1.26981818181818e-06	1	0.21	0.255
Cell_cycle_Caulobacter	3.287	0.342	3.23	0.172	0.398	1	0.470950819672131	1	0.015	0.015
C5_Branched_dibasic_acid_metabolism	3.222	0.825	2.864	1.093	0.0651	1	0.109004651162791	1	0.027	0.027
Vasopressin_regulated_water_reabsorption	0.543	0.466	0.841	0.74	0.0116	0.967	0.0240923076923077	1	0.058	0.061
Insect_hormone_biosynthesis	0.068	0.149	0.056	0.168	0.709	1	0.758138613861386	1	0.014	0.014
Proteasome	0.649	0.517	1.092	0.621	0.000217	0.305	0.00062496	0.950438356164384	0.113	0.209
Protein_digestion_and_absorption	2.151	0.307	2.432	0.268	1.86e-05	0.059	7.30472727272727e-05	0.459793103448276	0.135	0.316
Dilated_cardiomyopathy_DCM_	0.026	0.212	0.076	0.281	0.309	1	0.385803468208092	1	0.01	0.01
p53_signaling_pathway	0.392	0.484	1.351	0.985	3.47e-10	1	4.40894117647059e-09	1	0.307	0.307
Protein_export	3.33	0.341	3.361	0.11	0.646	1	0.705818181818182	1	0.009	0.009
Amino_sugar_and_nucleotide_sugar_metabolism	3.378	0.091	3.287	0.18	0.000463	1	0.00128215384615385	1	0.101	0.101
Renin_angiotensin_system	1.13	0.322	1.337	0.507	0.0103	1	0.0218117647058824	1	0.075	0.075
Biotin_metabolism	3.428	0.367	3.314	0.234	0.116	0.724	0.180258992805755	1	0.029	0.079
Hematopoietic_cell_lineage	0.123	0.44	0.721	0.949	2.6e-06	0.0625	1.22086956521739e-05	0.462272727272727	0.168	0.315
Phototransduction	0.149	0.367	0.811	0.819	1.7e-08	0.399	1.41230769230769e-07	1	0.241	0.301
Synthesis_and_degradation_of_ketone_bodies	2.571	0.499	2.558	0.745	0.901	0.78	0.922350710900474	1	0.002	0.025
Valine_leucine_and_isoleucine_biosynthesis	3.593	0.378	3.484	0.152	0.144	1	0.214510344827586	1	0.022	0.022
Viral_myocarditis	0.143	0.49	1.132	1.119	1.91e-09	1	1.79373913043478e-08	1	0.276	0.276
Primary_bile_acid_biosynthesis	0.148	0.413	0.438	0.801	0.0114	1	0.0239067961165049	1	0.053	0.053
Oocyte_meiosis	0.175	0.347	0.617	0.755	2.17e-05	1	8.08137931034483e-05	1	0.181	0.181
Pyrimidine_metabolism	3.385	0.086	3.287	0.127	5.79e-06	0.227	2.50128e-05	0.789261538461538	0.16	0.266
Protein_processing_in_endoplasmic_reticulum	2.023	0.168	2.087	0.13	0.0713	0.533	0.118467692307692	1	0.03	0.114
Glycosaminoglycan_biosynthesis_heparan_sulfate	0.258	0.523	1.333	0.615	2.76e-14	0.201	1.19232e-12	0.773762711864407	0.412	0.495
Ribosome	3.501	0.368	3.484	0.121	0.753	0.66	0.798352941176471	1	0.011	0.083
Caprolactam_degradation	1.925	0.463	1.906	0.496	0.272	0.000447	0.353101796407186	0.101022	0.008	0.358
Butanoate_metabolism	3.082	0.323	3.043	0.158	0.538	1	0.611621052631579	1	0.01	0.01
Cell_cycle	0.303	0.573	1.374	1.106	8.97e-10	0.412	8.80690909090909e-09	1	0.281	0.336
Regulation_of_actin_cytoskeleton	0.614	0.763	2.411	0.746	<2e-16	0.214	NA	0.780064516129032	0.507	0.584
Bacterial_invasion_of_epithelial_cells	1.305	0.384	1.898	0.314	2.73e-10	0.0035	3.9312e-09	0.113	0.266	0.523
Other_types_of_O_glycan_biosynthesis	0.796	0.405	1.165	0.566	0.000112	0.73	0.000372184615384615	1	0.214	0.237
Plant_hormone_signal_transduction	0.62	0.231	0.625	0.25	0.766	0.0866	0.80710243902439	0.501835897435897	0.001	0.175
RNA_degradation	3.109	0.077	3.015	0.124	3.98e-06	0.276	1.75444897959184e-05	0.904	0.165	0.256
Flavonoid_biosynthesis	1.546	0.449	1.442	0.79	0.176	0.0849	0.248470588235294	0.501835897435897	0.015	0.163
alpha_Linolenic_acid_metabolism	1.492	0.535	1.519	0.783	0.831	0.84	0.871339805825243	1	0.011	0.03
Glyoxylate_and_dicarboxylate_metabolism	3.093	0.069	2.982	0.172	2.05e-06	1	1.00636363636364e-05	1	0.175	0.175
Cell_adhesion_molecules_CAMs_	1.473	0.692	2.988	0.79	<2e-16	0.167	NA	0.738846153846154	0.478	0.557
Pathways_in_cancer	0.367	0.329	0.879	0.708	6.41e-07	1	3.4614e-06	1	0.194	0.194
Arachidonic_acid_metabolism	1.788	0.483	2.574	0.413	3.63e-11	0.00971	5.60057142857143e-10	0.24182	0.296	0.506
Phenylalanine_metabolism	2.779	0.288	2.816	0.096	0.53	0.863	0.605714285714286	1	0.007	0.041
Glycosphingolipid_biosynthesis_ganglio_series	0.138	0.338	0.702	1.009	7.83e-06	1	3.31623529411765e-05	1	0.179	0.179
Peptidoglycan_biosynthesis	3.49	0.373	3.387	0.243	0.16	0.877	0.231946308724832	1	0.02	0.045
Lipopolysaccharide_biosynthesis	3.251	0.383	3.147	0.257	0.165	0.399	0.2376	1	0.015	0.124
N_Glycan_biosynthesis	2.427	0.177	2.496	0.098	0.0558	0.532	0.0941625	1	0.037	0.119
PPAR_signaling_pathway	0.286	0.428	0.974	0.833	8.48e-08	1	5.90864516129032e-07	1	0.223	0.223
Huntington_s_disease	0.236	0.49	1.51	0.856	4.3e-16	0.307	9.288e-14	0.950438356164384	0.459	0.515
Glycosaminoglycan_biosynthesis_chondroitin_sulfate	0.834	0.326	1.187	0.436	1.13e-05	0.418	4.52e-05	1	0.192	0.257
Adipocytokine_signaling_pathway	0.417	0.383	1.014	0.778	2.64e-07	1	1.62925714285714e-06	1	0.214	0.214
Prion_diseases	0.812	0.41	1.382	0.522	4.71e-08	1	3.63342857142857e-07	1	0.228	0.228
Hypertrophic_cardiomyopathy_HCM_	0.087	0.298	0.706	0.843	3.37e-08	1	2.696e-07	1	0.242	0.242
Biosynthesis_of_unsaturated_fatty_acids	2.505	0.288	2.273	0.815	0.0202	0.955	0.0398618181818182	1	0.043	0.047
Glycosphingolipid_biosynthesis_globo_series	1.21	0.853	2.531	0.519	3.4e-11	1	5.60057142857143e-10	1	0.324	0.324
Alzheimer_s_disease	0.536	0.342	0.975	0.912	0.000184	1	0.000559774647887324	1	0.114	0.114
Pentose_and_glucuronate_interconversions	3.36	0.131	3.221	0.208	6.05e-05	0.748	0.000214229508196721	1	0.13	0.157
Glycosaminoglycan_degradation	2.775	0.342	2.78	0.185	0.87	0.0284	0.894857142857143	0.356577777777778	0.002	0.267
