wgs	stoolMeans	stoolSDs	swabMeans	swabSDs	tissueMeans	tissueSDs	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
K03851: taurine-pyruvate aminotransferase	0.077	0.151	0.032	0.054	0	0	0.0407695400421877	0.233868277212933	0.0707036390414757	0.707134094287961	0.833243812640063	0.986973570243943	0.0470810453873642	0.478365091880395	0.0845526622486174	0.748319957312853	0.999248226209326	0.999998145862406
K03852: sulfoacetaldehyde acetyltransferase	0.054	0.12	0.049	0.074	0.002	0.006	0.184133160166533	0.97701511869699	0.158295072710817	0.319465515593279	0.121618137663624	0.632168270311742	0.197466269544343	0.999999996206915	0.181458024028388	0.358978510876184	0.999248226209326	0.944568911381649
K03855: ferredoxin like protein	0.356	0.5	0.446	0.535	0	0	0.0103470996288955	0.657501468728805	0.0184946790039311	0.0100579096817381	0.399459835424193	0.0633920878783443	0.013034518924066	0.929884546851829	0.0240395283145267	0.014459729861299	0.999248226209326	0.226315330742218
K03857: phosphatidylinositol glycan, class A	0.523	0.266	0.44	0.341	0	0	1.80226174019552e-10	0.319525413717123	6.90915102907752e-11	1.54264782659119e-06	0.0961688397205968	0.00906420259999663	4.02139560578084e-10	0.595505720681093	1.57749446038991e-10	3.36562627973498e-06	0.999248226209326	0.0636677262741233
K03856: 3-deoxy-7-phosphoheptulonate synthase	1.712	0.347	1.472	0.484	0.174	0.435	5.41963311852267e-29	0.0127495753687361	1.66533453693773e-15	2.34257058195908e-14	0.920197816958614	0.479951430761489	2.68423977155798e-28	0.0575290328165283	6.8261894453468e-15	1.22501951309149e-13	0.999248226209326	0.794740032384436
K02196: cytochrome c-type biogenesis protein CcmD	0.321	0.72	2.108	0.926	3.73	0.11	4.20880450207191e-40	1.0991207943789e-14	1.66533453693773e-15	1.82401982407043e-10	0.632743361261217	0.356893061389332	5.80929546578497e-39	1.48674406119653e-12	6.8261894453468e-15	5.21748527684057e-10	0.999248226209326	0.661512808975902
K13018	0.762	0.457	0.524	0.463	0	0	4.3237572080461e-09	0.0310155145243413	3.90864440813488e-09	0.000532044059666004	0.775199474793822	0.226005688975006	8.94281689615244e-09	0.109571350498935	8.18717085764521e-09	0.00091252527224203	0.999248226209326	0.495211169471152
K13019	0.684	0.267	0.605	0.358	0.031	0.125	5.7078127812766e-14	0.384919494903851	4.96269692007445e-14	2.19635820641884e-09	0.638076036434013	0.436256209436932	1.47093380184719e-13	0.671421371116917	1.30150521984029e-13	5.89472328151299e-09	0.999248226209326	0.748764579711699
K13010	1.463	0.312	1.372	0.452	0.127	0.347	4.74928771368046e-28	0.442525779092592	1.66533453693773e-15	1.16573417585641e-14	0.645940441429357	0.249761240256086	2.23580157101106e-27	0.73837191432689	6.8261894453468e-15	7.22588994749287e-14	0.999248226209326	0.527331484370029
K13012	1.516	0.257	1.327	0.471	0.102	0.408	2.44277356462063e-32	0.0206279884248985	1.66533453693773e-15	4.9960036108132e-15	0.462301138450441	0.999837627596411	1.54404596966208e-31	0.0815133376321959	6.8261894453468e-15	3.54024144109662e-14	0.999248226209326	0.999998145862406
K13013	1.22	0.263	1.046	0.363	0.076	0.221	5.40241919463306e-30	0.0121368098548932	1.66533453693773e-15	1.7430501486615e-14	0.389177001278985	0.0409527350847958	2.83243114881408e-29	0.0553798812494264	6.8261894453468e-15	9.84225070028063e-14	0.999248226209326	0.172631093117141
K13015	0.749	0.259	0.699	0.33	0.041	0.166	9.9074507823274e-17	0.656949725464671	2.96429547574917e-14	3.10451664375933e-12	0.96494415257263	0.0374329883456648	2.84599589013813e-16	0.929749588212846	8.48160947682968e-14	1.0009106361527e-11	0.999248226209326	0.162058748264624
K13016	0.406	0.408	0.229	0.296	0	0	0.000115744892805618	0.065519373382816	0.000194404513771507	0.116855094636909	0.596293514891284	0.000430466306337838	0.000181957428333625	0.189371522213296	0.000308482866352232	0.140822997635096	0.999248226209326	0.00894282732654751
K13017	1.337	0.249	1.287	0.424	0.063	0.254	4.64572956317579e-33	0.699720370690657	1.66533453693773e-15	1.66533453693773e-15	0.394857550323248	0.0735864650950124	3.14882149034113e-32	0.957984232207384	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.246767296557114
K04889: potassium voltage-gated channel, Shaw-related subfamily C, member 3	0.009	0.024	0.017	0.038	0.07	0.164	0.00108114047368389	0.803493883253463	0.000655353288367966	0.014842757832002	0.370043130060206	0.999973087257629	0.00153587801602195	0.999999996206915	0.000992322255297465	0.020769624580091	0.999248226209326	0.999998145862406
K04888: potassium voltage-gated channel, Shaw-related subfamily C, member 2	0.038	0.095	0.042	0.096	0.136	0.265	0.0160298979414303	0.987850682231943	0.0121542848869486	0.0477357912208262	0.381245780367774	0.858155685579105	0.019604980664956	0.999999996206915	0.0161888691699904	0.0614438065470858	0.999248226209326	0.999998145862406
K04883: potassium voltage-gated channel, Shaker-related subfamily A, beta	0.504	0.253	0.49	0.353	0.044	0.176	1.44922154512372e-08	0.966192746903691	8.13167100321976e-09	1.34008027541377e-06	0.316966262319939	0.0602279968666031	2.92099720038679e-08	0.999999996206915	1.67447501341674e-08	2.940543848754e-06	0.999248226209326	0.218862228088829
K04882: potassium voltage-gated channel, Shaker-related subfamily A, beta	0.461	0.239	0.395	0.331	0.042	0.17	5.54931421082296e-08	0.439385831366178	2.39264638102199e-08	5.28732846827307e-05	0.236037249212864	0.430235034255512	1.08369187042924e-07	0.735572485018132	4.79711413744429e-08	0.000100512081156709	0.999248226209326	0.742512235189482
K04881: potassium voltage-gated channel, Shaker-related subfamily A, member	0.121	0.115	0.1	0.101	0.151	0.191	0.413619571521746	0.699229455068618	0.639278933469096	0.382248434854338	0.365183745963674	0.149214649179836	0.426584603838168	0.95793850734095	0.667459840141747	0.424898871979247	0.999248226209326	0.382590383132966
K04880: potassium voltage-gated channel, Shaker-related subfamily A, member	0.038	0.05	0.048	0.073	0.087	0.109	0.015847737350454	0.716955076980712	0.0116621124869466	0.123451109159065	0.284295392216683	0.999932780227396	0.0194055878600309	0.968724873159066	0.0155776341250919	0.148243618356921	0.999248226209326	0.999998145862406
K04887: potassium voltage-gated channel, Shaw-related subfamily C, member 1	0.039	0.064	0.067	0.118	0.169	0.285	0.00042483526698506	0.511866813667953	0.000265564137093888	0.0204768854775236	0.420374973282394	0.999951984223214	0.000631495059862774	0.809034846493816	0.000415549846398585	0.0280663818738316	0.999248226209326	0.999998145862406
K04886: potassium voltage-gated channel, Shab-related subfamily B, member 2	0.106	0.096	0.088	0.108	0.142	0.195	0.322528604651084	0.744411686832376	0.471845779449793	0.29018302635353	0.786557257975057	0.234133170063775	0.336172662032663	0.987842585077104	0.502471179060687	0.328011899984018	0.999248226209326	0.5061034759933
K04885: potassium voltage-gated channel, Shab-related subfamily B, member 1	0.116	0.105	0.13	0.163	0.286	0.379	0.00119675096735291	0.917289957660006	0.000753698290493987	0.0102599735721535	0.761354940954715	0.703039525693081	0.00169056002280742	0.999999996206915	0.00113446129926728	0.0147317397868927	0.999248226209326	0.999998145862406
K04884: potassium voltage-gated channel, Shaker-related subfamily A, beta	0.316	0.217	0.317	0.273	0.015	0.061	4.45378626658709e-06	0.999675150215231	3.14284047364666e-06	6.12006767390927e-05	0.480528916426922	0.048972109835351	7.79252572713872e-06	0.999999996206915	5.62826418449168e-06	0.000115728027123597	0.999248226209326	0.191823186980554
K08567: hydrogenase 2 maturation protease	0.496	0.49	0.426	0.475	0	0	0.000384403108008008	0.745714028426926	0.000221396321040568	0.00867995805737731	0.0132168091434635	0.125123671876453	0.000574199194710367	0.9880887042223	0.000349400934968612	0.0125904950862759	0.999248226209326	0.344641037667726
K13274	0.121	0.125	0.094	0.134	0	0	0.00124528888198514	0.555771712405427	0.000816948786935945	0.0362619293112515	0.718523109424396	0.0681542966966967	0.0017546466260749	0.846585076578995	0.00122512127767408	0.0477866126255873	0.999248226209326	0.234955303663175
K13275	0.614	0.336	0.624	0.375	0.05	0.137	1.06248266091736e-08	0.987166654444625	8.38113345391633e-09	3.85229739441328e-07	0.510095204838108	0.0523208007757616	2.15649615105168e-08	0.999999996206915	1.72351213966178e-08	8.84531657479957e-07	0.999248226209326	0.199797185898407
K13276	0.083	0.119	0.136	0.183	0	0	0.00391787103815981	0.127181278399917	0.0472856710621041	0.00258568214454402	0.507768134942222	0.774007050823437	0.00520359611810578	0.308796346876862	0.0581279606087077	0.0040564554674844	0.999248226209326	0.999998145862406
K13277	0.155	0.143	0.14	0.148	0.016	0.065	0.00130914955833746	0.865158825637041	0.000808866564905864	0.0136190531515368	0.471036903958661	0.67184195808231	0.0018416439476774	0.999999996206915	0.00121389812144526	0.0191718724637845	0.999248226209326	0.978818094506228
K13278	0.881	0.219	0.722	0.269	0.151	0.31	2.44508084670304e-20	0.00718575762553308	1.47659662275146e-14	1.56598067846403e-11	0.669002290119469	0.378828971659814	8.12845828174846e-20	0.0380178362131155	4.92225829281935e-14	4.79965981360048e-11	0.999248226209326	0.686061451831183
K13279	0.13	0.148	0.142	0.253	0.181	0.288	0.6133531503631	0.954093163285357	0.588830143685437	0.795112419529473	0.55716502626763	0.0332957493680828	0.624536739086683	0.999999996206915	0.618820629249526	0.830732800836921	0.999248226209326	0.150461192578708
K00862: erythritol kinase	0.018	0.046	0.013	0.021	0	0	0.211422703688662	0.769631662913172	0.198207646140841	0.568782969299776	0.870839469438095	0.248746524962686	0.224791265913168	0.999999996206915	0.22350684365678	0.61353569628349	0.999248226209326	0.526093065991775
K03716: spore photoproduct lyase	0.501	0.445	0.657	0.497	0	0	1.21826027580128e-05	0.214113140101632	9.63731730733164e-05	9.96576545264638e-06	0.942847543771288	0.957883691698641	2.06734047917547e-05	0.449409411266221	0.000156683628337948	2.03153430375949e-05	0.999248226209326	0.999998145862406
K03275: UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase	0.493	0.38	0.543	0.404	0	0	3.37792779009775e-06	0.799960967921791	4.53828669300105e-06	1.45507347681928e-05	0.359134576613152	0.0884928129369339	5.95811256398871e-06	0.999999996206915	8.04911162596077e-06	2.92118478014477e-05	0.999248226209326	0.27793941864664
K03274: ADP-L-glycero-D-manno-heptose 6-epimerase	0.823	0.438	0.586	0.523	0	0	2.89654206507056e-10	0.0306285242200803	2.17717954775765e-10	8.71028827059694e-05	0.396252968699941	0.151142333632482	6.39276705949401e-10	0.10858231038301	4.82962533061253e-10	0.000162337797621321	0.999248226209326	0.385099784353669
K03276: UDP-galactose:(glucosyl)LPS alpha-1,2-galactosyltransferase	0.157	0.253	0.223	0.27	0	0	0.0146674538245413	0.411083420873963	0.0468148921331276	0.0109480385263195	0.392756872449372	0.788177435274334	0.0180876805976464	0.697981808329098	0.0575797632682053	0.015665423250989	0.999248226209326	0.999998145862406
K03271: phosphoheptose isomerase	1.402	0.422	1.159	0.567	0.002	0.007	3.54081874742673e-22	0.0265942425923207	4.9960036108132e-15	1.03139718987677e-13	0.832911182669383	0.00383269138005074	1.2596705853645e-21	0.0984632245990182	1.79414005775929e-14	3.69083756306873e-13	0.999248226209326	0.0380368663157427
K03270: 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P	1.723	0.459	1.359	0.691	0.176	0.481	3.1526063303266e-20	0.0035170515401981	1.54321000422897e-14	5.01999553037535e-11	0.51718710940462	0.913241144099236	1.04463335507338e-19	0.0225350449738798	5.11908408487288e-14	1.49275587657034e-10	0.999248226209326	0.999998145862406
K03273: D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase	1.292	0.428	1.142	0.53	0.092	0.368	4.27924661750242e-17	0.259928615509417	3.03090885722668e-14	1.80772063984591e-11	0.624286312059137	0.0214151904618964	1.24511348760694e-16	0.516716356174337	8.48160947682968e-14	5.52944499233269e-11	0.999248226209326	0.114403506654096
K03272: D-beta-D-heptose 7-phosphate kinase	1.142	0.42	0.938	0.563	0.073	0.291	1.31115332436092e-14	0.0823519291772149	3.50830475781549e-14	1.36989660726172e-08	0.656155893495072	0.154574674615088	3.45796806125863e-14	0.222888480614365	9.38683563113095e-14	3.44853624830525e-08	0.999248226209326	0.389927908985513
K03279: UDP-glucose:(glucosyl/galactosyl)LPS alpha-1,2-glucosyltransferase	0.636	0.406	0.577	0.474	0	0	1.66655760610605e-07	0.775735608203202	7.71895358742114e-08	2.65061762888541e-05	0.919279950336568	0.0304461498243383	3.17904611355924e-07	0.999999996206915	1.51126633922909e-07	5.18954953587182e-05	0.999248226209326	0.142342105402529
K03278: UDP-D-galactose:(glucosyl)LPS alpha-1,3-D-galactosyltransferase	0.212	0.255	0.303	0.305	0	0	0.0008142807543981	0.213473297466976	0.00593624738505671	0.000529934302779034	0.208345169124228	0.373353721578731	0.00117314247385118	0.448382319420801	0.00821973108117384	0.000909419255995483	0.999248226209326	0.680365854089492
K11022: structural toxin protein (hemagglutinin/hemolysin) RtxA	1.005	0.601	0.827	0.708	0	0	2.62606636845402e-08	0.342192409359805	1.14342322277139e-08	5.13506982926515e-05	0.654777522444154	0.405537466475859	5.20679673771322e-08	0.623817069713427	2.33479273968784e-08	9.77397437483958e-05	0.999248226209326	0.716131870739353
