Taxa	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Acholeplasmatales	0.800999617070096	1.032	0.7224079419221	0.837	0.262	0.406	<2e-16	0.393	0.792380952380952	NA	0.003	0.68
Cytophagales	0.470295102844044	0.741	0.358724476667011	0.555	0.0337	0.16	<2e-16	0.075825	0.64	NA	0.009	0.665
Bacteroidales	4.72421888361305	0.219	4.69827378818384	0.197	0.257	0.0857	0.00142	0.393	0.571333333333333	0.00200470588235294	0.014	0.197
Pasteurellales	0.558845653954536	0.803	0.533314847872636	0.744	0.773	0.343	5.96e-10	0.795085714285714	0.768421052631579	1.788e-09	0.003	0.374
Clostridiales	4.72850460493159	0.157	4.71488656251912	0.165	0.489	0.357	0.0493	0.607034482758621	0.768421052631579	0.0563428571428571	0.005	0.119
Flavobacteriales	2.50154093667583	0.869	2.12149767395365	0.66	3.35e-07	0.034	1.49e-15	3.015e-06	0.453333333333333	1.908e-14	0.066	0.519
Actinomycetales	2.34544734304679	0.477	2.73623601586045	0.578	4.99e-11	0.294	3.01e-07	1.7964e-09	0.768421052631579	6.56727272727273e-07	0.128	0.396
Acidobacteriales	0.235676110121705	0.409	0.149415563101498	0.317	0.000688	0.895	<2e-16	0.0024768	0.96	NA	0.016	0.68
Neisseriales	0.235004741093537	0.5	0.290267257042629	0.626	0.331	0.22	1e-10	0.458307692307692	0.733333333333333	3.42857142857143e-10	0.006	0.394
Rhodospirillales	0.28774474471759	0.419	0.31702555187682	0.387	0.522	0.912	0.00886	0.6264	0.96	0.010632	0.002	0.151
Rhizobiales	1.07044905336166	0.591	0.942808938181996	0.597	0.0487	0.00612	1.66e-06	0.103129411764706	0.2448	3.32e-06	0.034	0.31
Desulfurobacteriales	0.201650203650079	0.305	0.0754960061457844	0.186	3.23e-05	0.365	0.00531	0.0001372	0.768421052631579	0.00670736842105263	0.063	0.214
Desulfovibrionales	1.3277457893117	0.965	1.13451412907951	0.943	0.0193	0.989	<2e-16	0.04632	0.989	NA	0.009	0.606
Selenomonadales	3.18290685908203	0.71	2.97201335155974	0.624	3.43e-05	0.959	<2e-16	0.0001372	0.983589743589743	NA	0.026	0.66
Rhodobacterales	0.587437080113089	0.913	0.620996180173211	0.924	0.601	0.179	<2e-16	0.687375	0.650909090909091	NA	0.003	0.624
Spirochaetales	0.296989659794876	0.548	0.54807796765093	0.683	1.91e-05	0.16	1.59e-15	9.82285714285714e-05	0.64	1.908e-14	0.045	0.505
Legionellales	0.401593901134664	0.886	0.481406387750098	0.929	0.112	0.677	<2e-16	0.192	0.96	NA	0.002	0.814
Fusobacteriales	0.504206149229102	0.902	1.0683080964129	1.055	1.64e-10	0.114	<2e-16	2.664e-09	0.63	NA	0.087	0.575
Chromatiales	0.737202923811013	0.669	0.689047896354289	0.632	0.487	0.496	4.25e-09	0.607034482758621	0.862608695652174	1.02e-08	0.003	0.356
Coriobacteriales	2.90822249526687	0.563	2.6200075214102	0.521	1.2e-05	0.688	0.00217	7.2e-05	0.96	0.00289333333333333	0.066	0.232
Verrucomicrobiales	1.5448029175026	1.213	1.19516111420473	1.059	0.00283	0.34	3.01e-15	0.00926181818181818	0.768421052631579	2.408e-14	0.021	0.494
Erysipelotrichales	1.28064240997276	0.972	1.40510273154432	0.946	0.11	0.776	<2e-16	0.192	0.96	NA	0.004	0.64
Unclassified	4.17226504060795	0.243	4.1324665173184	0.239	0.0797	0.82	<2e-16	0.151010526315789	0.96	NA	0.007	0.506
Caldilineales	0.243347143546335	0.447	0.134849230776117	0.273	0.0116	0.548	0.000238	0.0298285714285714	0.8784	0.0003808	0.022	0.233
Chlorobiales	0.295949555809314	0.659	0.403686442274186	0.814	0.0572	0.083	<2e-16	0.1144	0.571333333333333	NA	0.011	0.628
