Taxa	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Bacteroides	4.48489009188782	0.29	4.45964704558932	0.31	0.309	0.448	1.05e-12	0.472588235294118	0.944571428571429	1.197e-11	0.004	0.433
Megasphaera	0.406551302556416	0.807	0.582594473508075	0.93	0.0107	0.646	<2e-16	0.0298071428571429	0.977	NA	0.011	0.622
Adlercreutzia	1.69640794547529	1.022	1.13768511077917	0.734	2.04e-12	0.659	<2e-16	3.978e-11	0.977	NA	0.096	0.603
Geobacillus	1.83752816126576	0.738	3.18502943362384	0.856	<2e-16	0.597	0.0239	NA	0.977	0.02838125	0.418	0.493
Campylobacter	0.311274109888708	0.478	1.46381509702471	1.14	<2e-16	0.259	6.69e-06	NA	0.941818181818182	1.36189285714286e-05	0.308	0.493
Acholeplasma	0.767664844622881	1.02	0.697623873003849	0.837	0.322	0.395	<2e-16	0.483	0.944571428571429	NA	0.002	0.668
Syntrophomonas	0.385091637448548	0.673	0.375273247750117	0.631	0.873	0.278	<2e-16	0.895973684210526	0.941818181818182	NA	0.002	0.604
Streptococcus	2.75610654217732	0.762	2.81734513207968	0.749	0.304	0.96	3.66e-12	0.472588235294118	0.977	2.60775e-11	0.003	0.423
Unclassified	4.59617737069589	0.16	4.54276791532962	0.171	0.00221	0.957	4.14e-10	0.00783545454545455	0.977	1.38811764705882e-09	0.025	0.395
Slackia	0.593847207320611	0.913	0.515001163271538	0.723	0.195	0.429	<2e-16	0.338	0.944571428571429	NA	0.003	0.712
Blattabacterium	0.545484295589389	0.721	0.487416861545628	0.577	0.348	0.0921	8.63e-15	0.493527272727273	0.70875	1.6397e-13	0.008	0.474
Fusobacterium	0.171852519676393	0.361	0.730237519574572	0.897	3.1e-11	0.544	0.000911	4.03e-10	0.944571428571429	0.00133146153846154	0.147	0.313
Ethanoligenens	2.40484164707612	0.657	2.49136204739913	0.565	0.147	0.456	1.82e-09	0.273	0.944571428571429	4.94e-09	0.007	0.366
Corynebacterium	0.319539876571151	0.537	1.55425142726525	1.024	<2e-16	0.977	0.00197	NA	0.977	0.00267357142857143	0.365	0.479
Marinitoga	0.347273971709828	0.562	0.371380874114031	0.558	0.724	0.815	4.2e-15	0.78427397260274	0.977	1.197e-13	0	0.475
Haliscomenobacter	0.379766681369798	0.641	0.350522179741846	0.563	0.576	0.813	<2e-16	0.680727272727273	0.977	NA	0.001	0.635
Lactobacillus	1.29794179828436	0.809	1.24923757295706	0.806	0.571	0.361	1.45e-09	0.680727272727273	0.941818181818182	4.1325e-09	0.003	0.366
Thermus	0.202888034027639	0.391	1.57187548341588	0.951	<2e-16	0.0879	0.116	NA	0.70875	0.129647058823529	0.477	0.523
Bifidobacterium	0.418041774516201	0.585	0.247727806935177	0.428	0.00152	0.833	8.41e-11	0.00624	0.977	3.68746153846154e-10	0.026	0.407
Selenomonas	0.659287435792505	0.628	0.753550841212586	0.902	0.242	0.114	2.04e-10	0.39325	0.70875	7.752e-10	0.01	0.39
Neisseria	0.235004741093537	0.5	0.290267257042629	0.626	0.331	0.22	1e-10	0.487132075471698	0.941818181818182	4.07142857142857e-10	0.006	0.394
Akkermansia	1.5448029175026	1.213	1.19516111420473	1.059	0.00283	0.34	3.01e-15	0.00959739130434783	0.941818181818182	1.197e-13	0.021	0.494
Segniliparus	0.0402420337630765	0.32	0.686818110467169	0.837	4.56e-14	0.362	0.171	2.1957e-12	0.941818181818182	0.183905660377359	0.209	0.27
Alkaliphilus	0.317477394576734	0.478	0.422856284222697	0.539	0.0717	0.936	1.13e-05	0.164488235294118	0.977	2.22103448275862e-05	0.01	0.268
Peptoclostridium	2.02222639464762	0.856	2.14230475732854	0.767	0.109	0.806	2.36e-12	0.223736842105263	0.977	2.242e-11	0.006	0.435
Oscillibacter	3.3745367590464	0.451	3.39328234748538	0.372	0.651	0.962	0.000279	0.746735294117647	0.977	0.000467735294117647	0.001	0.213
Fibrobacter	0.95511995192608	0.739	0.862729066927008	0.762	0.238	0.0295	<2e-16	0.39325	0.4956	NA	0.012	0.536
Eubacterium	3.71435748934067	0.372	3.58709318801551	0.421	0.000919	0.78	9.08e-12	0.00421658823529412	0.977	4.70509090909091e-11	0.027	0.437
Methylobacterium	0.552994151647525	0.635	0.444132246388137	0.562	0.0878	0.34	9.19e-10	0.190233333333333	0.941818181818182	2.91016666666667e-09	0.01	0.376
Ruminiclostridium	1.80418789536512	1.181	1.59962653464203	1.024	0.0244	0.794	<2e-16	0.06344	0.977	NA	0.008	0.618
Jonesia	1.12819338307104	0.667	0.785187069816173	0.744	0.000168	0.896	0.239	0.000936	0.977	0.252277777777778	0.055	0.116
Escherichia	0.794267159656546	0.9	1.45010409604203	1.122	2.24e-10	0.466	5.13e-13	2.496e-09	0.944571428571429	7.31025e-12	0.098	0.493
Haemophilus	0.544594290183649	0.8	0.513025388645444	0.743	0.715	0.279	2.04e-09	0.78427397260274	0.941818181818182	5.28545454545454e-09	0.004	0.363
Ralstonia	0.547682010596594	0.717	0.687115349620382	0.775	0.0564	0.407	2.66e-11	0.137475	0.944571428571429	1.2635e-10	0.011	0.409
Alistipes	3.02278160843026	0.716	2.62776008255564	0.789	4.82e-08	0.672	<2e-16	4.17733333333333e-07	0.977	NA	0.056	0.595
Geobacter	2.33337861994204	0.628	2.02919483873792	0.544	5.12e-07	0.548	3.07e-12	3.9936e-06	0.944571428571429	2.49985714285714e-11	0.063	0.458
Caldilinea	0.243347143546335	0.447	0.134849230776117	0.273	0.0116	0.548	0.000238	0.0312	0.944571428571429	0.000411090909090909	0.022	0.233
Propionibacterium	0.213709450003769	0.419	0.294739258391732	0.409	0.085	0.126	0.000543	0.189428571428571	0.70875	0.000884314285714286	0.018	0.216
Desulfotomaculum	1.30536621626967	0.736	1.16626453862083	0.605	0.0438	0.449	2.34e-09	0.110206451612903	0.944571428571429	5.79913043478261e-09	0.012	0.369
Lachnoclostridium	3.20611143014749	0.44	3.19883283899309	0.447	0.857	0.00258	0.000835	0.89128	0.10836	0.00132208333333333	0.031	0.22
Coriobacterium	0.572085756151038	0.646	0.139677696986009	0.299	1.21e-11	0.312	0.00312	1.8876e-10	0.941818181818182	0.00404181818181818	0.158	0.302
Porphyromonas	0.699484414029582	0.511	1.49491230035794	1.061	5.63e-14	0.135	0.00271	2.1957e-12	0.70875	0.00359232558139535	0.194	0.334
Ketogulonicigenium	0.501414656180443	0.884	0.571121466445113	0.92	0.293	0.233	<2e-16	0.466408163265306	0.941818181818182	NA	0.004	0.641
Caldicellulosiruptor	0.106561905046208	0.211	0.1945895263632	0.29	0.00758	0.916	0.734	0.0218977777777778	0.977	0.760690909090909	0.029	0.047
Cellulophaga	0.284512871627371	0.346	0.272774270326727	0.336	0.825	0.129	0.0016	0.869594594594594	0.70875	0.00222439024390244	0.008	0.19
Mobiluncus	0.19108168341642	0.424	0.825041042551297	0.883	1.32e-12	0.789	0.0125	3.432e-11	0.977	0.0151595744680851	0.174	0.292
Parabacteroides	3.42472709003	0.609	3.35206668550784	0.62	0.116	0.886	<2e-16	0.232	0.977	NA	0.003	0.696
Coprococcus	3.18297419393926	0.611	3.03575002704876	0.662	0.00195	0.314	<2e-16	0.00724285714285714	0.941818181818182	NA	0.015	0.678
Atopobium	0.44302442890151	0.589	0.267009866628288	0.456	0.00523	0.0921	0.000894	0.0163176	0.70875	0.00133146153846154	0.036	0.223
Paenibacillus	0.257814951047885	0.53	0.224955836977659	0.488	0.497	0.723	3.9e-10	0.625258064516129	0.977	1.38811764705882e-09	0.002	0.378
Odoribacter	2.24063415031402	0.93	2.1930327189497	0.921	0.441	0.551	<2e-16	0.5759	0.944571428571429	NA	0.002	0.616
Staphylococcus	0.245066137286005	0.436	0.308527668245822	0.426	0.215	0.685	0.00455	0.364565217391304	0.977	0.00576333333333333	0.006	0.169
Acinetobacter	0.0655372973027664	0.254	0.983742502071734	0.848	<2e-16	0.406	0.157	NA	0.944571428571429	0.172096153846154	0.352	0.403
Variovorax	0.709579600105072	1.025	0.702683521591413	1.019	0.984	0.967	<2e-16	0.984	0.977	NA	0	0.785
Pantoea	0.702499851746204	0.58	0.817370931067271	0.641	0.104	0.0972	1.5e-06	0.219243243243243	0.70875	3.16666666666667e-06	0.016	0.298
Dehalococcoides	0.151055914916945	0.297	0.142791542221236	0.27	0.719	0.897	0.00129	0.78427397260274	0.977	0.00183825	0.001	0.188
Modestobacter	0.167132909428709	0.268	0.147304425475623	0.231	0.541	0.516	1	0.65934375	0.944571428571429	1	0.003	0.003
