wgs	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Individual p-value	Origin (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Histidine_metabolism	3.427	0.358	3.319	0.227	0.132	0.93	0.243375	1	0.026	0.039
Photosynthesis	0.681	0.469	0.694	0.464	0.852	0.219	0.906792792792793	0.760058823529412	0.007	0.134
Sphingolipid_metabolism	2.928	0.313	2.799	0.575	0.119	0.915	0.226483870967742	1	0.029	0.039
Thiamine_metabolism	3.528	0.097	3.429	0.151	7.2e-05	0.51	0.000499764705882353	1	0.123	0.179
Phosphonate_and_phosphinate_metabolism	2.602	0.417	2.337	0.692	0.0138	1	0.0417538461538462	1	0.049	0.049
D_Alanine_metabolism	3.41	0.375	3.257	0.453	0.0735	0.943	0.157690909090909	1	0.026	0.034
Arginine_and_proline_metabolism	3.2	0.327	3.225	0.105	0.696	0.934	0.774792452830189	1	0.004	0.022
Glycerolipid_metabolism	2.865	0.31	2.846	0.165	0.665	0.613	0.754519230769231	1	0.012	0.082
Biosynthesis_of_type_II_polyketide_backbone	0.681	0.466	0.508	0.579	0.0852	0.0758	0.1716	0.388886956521739	0.027	0.186
Tryptophan_metabolism	2.506	0.293	2.753	0.25	0.000134	0.699	0.000832210526315789	1	0.115	0.16
beta_Lactam_resistance	1.798	0.6	2.075	0.49	0.0858	0.24	0.1716	0.786666666666667	0.031	0.159
Limonene_and_pinene_degradation	2.427	0.838	2.002	1.194	0.0238	0.41	0.0585083333333333	1	0.044	0.122
Folate_biosynthesis	3.331	0.354	3.252	0.227	0.261	0.883	0.380222222222222	1	0.014	0.036
Purine_metabolism	3.223	0.33	3.211	0.107	0.853	1	0.906792792792793	1	0.005	0.005
Nicotinate_and_nicotinamide_metabolism	3.347	0.088	3.266	0.153	0.000156	0.067	0.0009204	0.379285714285714	0.109	0.27
Benzoate_degradation	2.573	0.343	2.501	0.37	0.339	1	0.439582417582418	1	0.011	0.011
Xylene_degradation	0.132	0.273	0.183	0.24	0.381	0.183	0.488673913043478	0.744620689655172	0.021	0.165
Phenylpropanoid_biosynthesis	0.259	0.161	0.337	0.273	0.282	0.00325	0.391482352941176	0.0767	0.012	0.269
Glycine_serine_and_threonine_metabolism	3.351	0.11	3.217	0.169	3.8e-06	0.637	4.98222222222222e-05	1	0.168	0.208
Lysine_biosynthesis	3.446	0.361	3.352	0.198	0.192	1	0.30208	1	0.019	0.019
Naphthalene_degradation	2.154	1.331	2.163	1.295	0.964	0.48	0.968	1	0.004	0.066
Lipoic_acid_metabolism	3.319	0.413	3.592	0.371	0.000944	0.0251	0.00397828571428571	0.257784615384615	0.079	0.324
Biosynthesis_of_siderophore_group_nonribosomal_peptides	1.769	0.398	1.997	0.339	0.0209	0.144	0.0556652173913043	0.671692307692308	0.045	0.212
Chloroalkane_and_chloroalkene_degradation	2.857	0.604	2.467	1.022	0.0132	1	0.0409894736842105	1	0.049	0.049
Glycosylphosphatidylinositol_GPI_anchor_biosynthesis	1.205	0.417	1.832	0.464	8.55e-10	1	2.52225e-08	1	0.31	0.31
Nitrogen_metabolism	3.082	0.106	2.979	0.169	0.000187	1	0.0010507619047619	1	0.111	0.111
Porphyrin_and_chlorophyll_metabolism	3.095	0.131	3.019	0.211	0.0217	0.0529	0.0556652173913043	0.328536842105263	0.04	0.208
D_Glutamine_and_D_glutamate_metabolism	3.61	0.384	3.572	0.137	0.487	0.49	0.604905263157895	1	0.013	0.126
Alanine_aspartate_and_glutamate_metabolism	3.518	0.367	3.42	0.16	0.172	1	0.285859154929577	1	0.02	0.02
Riboflavin_metabolism	3.333	0.151	3.192	0.27	0.000632	0.821	0.00298304	1	0.092	0.111
Terpenoid_backbone_biosynthesis	3.342	0.349	3.303	0.164	0.518	0.788	0.636226804123711	1	0.01	0.056
Retinol_metabolism	1.474	0.444	1.823	0.481	0.00058	0.897	0.00290575	1	0.093	0.105
Biosynthesis_of_12_14_and_16_membered_macrolides	0.363	0.307	0.363	0.355	0.951	0.629	0.968	1	0.003	0.048
Brassinosteroid_biosynthesis	1.095	0.426	0.79	0.624	0.00265	0.563	0.00954727272727273	1	0.075	0.136
Galactose_metabolism	3.288	0.338	3.296	0.137	0.968	0.72	0.968	1	0.004	0.069
Steroid_hormone_biosynthesis	2.095	0.325	2.059	0.226	0.466	0.021	0.584978723404255	0.2478	0.004	0.293
Cysteine_and_methionine_metabolism	3.397	0.072	3.398	0.133	0.866	0.175	0.908495575221239	0.7375	0.041	0.159
Phenylalanine_tyrosine_and_tryptophan_biosynthesis	3.333	0.35	3.21	0.205	0.0796	1	0.167728571428571	1	0.029	0.029
Valine_leucine_and_isoleucine_degradation	2.877	0.094	2.824	0.112	0.0213	0.0107	0.0556652173913043	0.157825	0.039	0.27
Starch_and_sucrose_metabolism	3.383	0.06	3.324	0.151	0.00267	0.857	0.00954727272727273	1	0.081	0.094
One_carbon_pool_by_folate	3.533	0.368	3.44	0.158	0.198	1	0.307421052631579	1	0.018	0.018
Carbon_fixation_pathways_in_prokaryotes	3.272	0.579	2.666	1.284	0.000591	1	0.00290575	1	0.093	0.093
Penicillin_and_cephalosporin_biosynthesis	2.18	0.453	1.993	0.714	0.111	0.00259	0.2183	0.0767	0.019	0.272
Lysine_degradation	2.585	0.274	2.757	0.146	0.002	1	0.00761290322580645	1	0.09	0.09
Inositol_phosphate_metabolism	2.66	0.285	2.584	0.2	0.18	0.764	0.290958904109589	1	0.019	0.063
Cyanoamino_acid_metabolism	2.705	1.196	2.453	1.309	0.338	1	0.439582417582418	1	0.012	0.012
Selenocompound_metabolism	3.421	0.362	3.318	0.205	0.152	1	0.263764705882353	1	0.025	0.025
C5_Branched_dibasic_acid_metabolism	3.222	0.825	2.864	1.093	0.0651	1	0.142255555555556	1	0.027	0.027
Zeatin_biosynthesis	3.045	0.332	2.812	0.805	0.0243	0.742	0.0585183673469388	1	0.045	0.07
Propanoate_metabolism	3.047	0.318	3.008	0.139	0.523	1	0.636226804123711	1	0.01	0.01
Insect_hormone_biosynthesis	0.068	0.149	0.056	0.168	0.709	1	0.78188785046729	1	0.014	0.014
Chlorocyclohexane_and_chlorobenzene_degradation	1.678	0.865	1.106	1.139	0.00158	0.0675	0.00621466666666667	0.379285714285714	0.077	0.224
Pantothenate_and_CoA_biosynthesis	3.469	0.365	3.391	0.162	0.277	1	0.389119047619048	1	0.016	0.016
Amino_sugar_and_nucleotide_sugar_metabolism	3.378	0.091	3.287	0.18	0.000463	1	0.00248336363636364	1	0.101	0.101
Biotin_metabolism	3.428	0.367	3.314	0.234	0.116	0.724	0.224393442622951	1	0.029	0.079
Fatty_acid_metabolism	2.735	0.29	2.671	0.543	0.399	0.811	0.506258064516129	1	0.007	0.027
Oxidative_phosphorylation	3.024	0.054	3.049	0.1	0.0495	0.0473	0.112326923076923	0.322533333333333	0.03	0.192
Synthesis_and_degradation_of_ketone_bodies	2.571	0.499	2.558	0.745	0.901	0.78	0.932614035087719	1	0.002	0.025
Valine_leucine_and_isoleucine_biosynthesis	3.593	0.378	3.484	0.152	0.144	1	0.257454545454545	1	0.022	0.022
Atrazine_degradation	2.12	0.371	1.838	0.606	0.000696	0.0492	0.00315876923076923	0.322533333333333	0.099	0.267
Primary_bile_acid_biosynthesis	0.148	0.413	0.438	0.801	0.0114	1	0.0363567567567568	1	0.053	0.053
Pyrimidine_metabolism	3.385	0.086	3.287	0.127	5.79e-06	0.227	6.8322e-05	0.765314285714286	0.16	0.266
Toluene_degradation	2.386	1.048	1.709	1.224	0.00139	0.0745	0.00565586206896552	0.388886956521739	0.08	0.244
Glycosaminoglycan_biosynthesis_heparan_sulfate	0.258	0.523	1.333	0.615	2.76e-14	0.201	3.2568e-12	0.744875	0.412	0.495
Caprolactam_degradation	1.925	0.463	1.906	0.496	0.272	0.000447	0.388120481927711	0.052746	0.008	0.358
Glycosphingolipid_biosynthesis_lacto_and_neolacto_series	0.81	0.527	1.223	0.62	0.000753	1	0.00329088888888889	1	0.092	0.092
Butanoate_metabolism	3.082	0.323	3.043	0.158	0.538	1	0.641252525252525	1	0.01	0.01
Geraniol_degradation	2.475	0.359	2.29	0.539	0.0336	0.767	0.0777411764705882	1	0.047	0.077
Vitamin_B6_metabolism	3.382	0.354	3.281	0.188	0.149	0.934	0.262417910447761	1	0.019	0.035
Other_types_of_O_glycan_biosynthesis	0.796	0.405	1.165	0.566	0.000112	0.73	0.000734222222222222	1	0.214	0.237
Pyruvate_metabolism	3.361	0.09	3.238	0.163	1.52e-06	1	2.98933333333333e-05	1	0.181	0.181
Flavonoid_biosynthesis	1.546	0.449	1.442	0.79	0.176	0.0849	0.288444444444444	0.417425	0.015	0.163
alpha_Linolenic_acid_metabolism	1.492	0.535	1.519	0.783	0.831	0.84	0.899614678899083	1	0.011	0.03
Glyoxylate_and_dicarboxylate_metabolism	3.093	0.069	2.982	0.172	2.05e-06	1	3.4515e-05	1	0.175	0.175
Arachidonic_acid_metabolism	1.788	0.483	2.574	0.413	3.63e-11	0.00971	1.4278e-09	0.157825	0.296	0.506
Phenylalanine_metabolism	2.779	0.288	2.816	0.096	0.53	0.863	0.638163265306122	1	0.007	0.041
Glycosphingolipid_biosynthesis_ganglio_series	0.138	0.338	0.702	1.009	7.83e-06	1	8.39945454545454e-05	1	0.179	0.179
Methane_metabolism	2.973	0.375	2.724	0.521	0.00603	1	0.0209276470588235	1	0.061	0.061
beta_Alanine_metabolism	2.938	0.449	2.986	0.868	0.694	1	0.774792452830189	1	0.005	0.005
Peptidoglycan_biosynthesis	3.49	0.373	3.387	0.243	0.16	0.877	0.273623188405797	1	0.02	0.045
Citrate_cycle_TCA_cycle_	3.295	0.348	3.221	0.131	0.273	0.935	0.388120481927711	1	0.013	0.031
Lipopolysaccharide_biosynthesis	3.251	0.383	3.147	0.257	0.165	0.399	0.278142857142857	1	0.015	0.124
Ubiquinone_and_other_terpenoid_quinone_biosynthesis	2.926	0.347	3.254	0.265	2.07e-05	0.198	0.000174471428571429	0.744875	0.138	0.274
N_Glycan_biosynthesis	2.427	0.177	2.496	0.098	0.0558	0.532	0.124233962264151	1	0.037	0.119
Glycosaminoglycan_biosynthesis_chondroitin_sulfate	0.834	0.326	1.187	0.436	1.13e-05	0.418	0.000102569230769231	1	0.192	0.257
Glycerophospholipid_metabolism	2.952	0.312	2.895	0.226	0.321	0.737	0.425595505617977	1	0.013	0.061
Other_glycan_degradation	3.432	0.111	3.369	0.187	0.0229	0.148	0.0574936170212766	0.671692307692308	0.044	0.178
Fructose_and_mannose_metabolism	3.385	0.08	3.275	0.174	1.08e-05	0.868	0.000102569230769231	1	0.152	0.164
Metabolism_of_xenobiotics_by_cytochrome_P450	0.132	0.359	0.703	0.901	2.34e-06	1	3.4515e-05	1	0.189	0.189
Dioxin_degradation	1.067	1.293	1.007	1.241	0.224	0.00235	0.334582278481013	0.0767	0.023	0.31
Biosynthesis_of_unsaturated_fatty_acids	2.505	0.288	2.273	0.815	0.0202	0.955	0.0556652173913043	1	0.043	0.047
Glycosphingolipid_biosynthesis_globo_series	1.21	0.853	2.531	0.519	3.4e-11	1	1.4278e-09	1	0.324	0.324
Pentose_and_glucuronate_interconversions	3.36	0.131	3.221	0.208	6.05e-05	0.748	0.0004461875	1	0.13	0.157
Glycosaminoglycan_degradation	2.775	0.342	2.78	0.185	0.87	0.0284	0.908495575221239	0.257784615384615	0.002	0.267
