Strain	BioProject	Genes	Proteins	Size-Mb	GC	16S count	Mean 16S similarity	Bioproject	species	genus	family	order	class	phylum	
Acinetobacter baumannii 1656-2	PRJNA158677	3913	3824	4.0231	39.0831	6	99.74	bio15867	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	
Acinetobacter baumannii AB0057	PRJNA59083	3923	3801	4.0592	39.1897	6	99.80	bio59083	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	
Acinetobacter baumannii AB307-0294	PRJNA59271	3542	3451	3.7610	39	6	99.78	bio59271	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	
Acinetobacter baumannii ACICU	PRJNA58765	3845	3759	3.9968	38.9013	6	99.78	bio58765	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	
Acinetobacter baumannii ATCC 17978	PRJNA58731	3469	3367	4.0015	38.8805	5	99.87	bio58731	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	
Acinetobacter baumannii AYE	PRJNA61637	3890	3712	4.0487	39.3357	6	99.80	bio61637	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	
Acinetobacter baumannii MDR-ZJ06	PRJNA158685	3975	3888	4.0114	39.0425	6	99.80	bio15868	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	
Acinetobacter baumannii SDF	PRJNA61601	3664	2975	3.4780	39.1264	5	99.80	bio61601	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	
Acinetobacter baumannii TCDC-AB0715	PRJNA158679	4003	3949	4.2104	38.8945	4	99.78	bio15867	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	
Acinetobacter calcoaceticus PHEA-2	PRJNA83123	3674	3599	3.8625	38.8	2	99.15	bio83123	Acinetobacter calcoaceticus	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	
Acinetobacter lwoffii WJ10621	PRJNA85143	-	-	3.1800	-	4	99.81	bio85143	Acinetobacter lwoffii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	
Acinetobacter oleivorans DR1	PRJNA50119	3963	3874	4.1525	38.7	6	99.59	bio50119	Acinetobacter oleivorans	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	
Actinobacillus pleuropneumoniae serovar 3 str. JL03	PRJNA58891	2147	2036	2.2421	41.2	6	99.76	bio58891	Actinobacillus pleuropneumoniae	Actinobacillus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	
Actinobacillus pleuropneumoniae serovar 5b str. L20	PRJNA58789	2110	2013	2.2745	41.3	5	82.52	bio58789	Actinobacillus pleuropneumoniae	Actinobacillus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	
Actinobacillus pleuropneumoniae serovar 7 str. AP76	PRJNA59231	2220	2142	2.3454	41.2139	6	99.79	bio59231	Actinobacillus pleuropneumoniae	Actinobacillus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	
Actinobacillus succinogenes 130Z	PRJNA58247	2199	2079	2.3197	44.9	6	99.79	bio58247	Actinobacillus succinogenes	Actinobacillus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	
Actinoplanes missouriensis 431	PRJNA158169	8203	8124	8.7735	70.8	6	99.74	bio15816	Actinoplanes missouriensis	Actinoplanes	Micromonosporaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Actinosynnema mirum DSM 43827	PRJNA58951	7175	6916	8.2481	73.7	5	99.74	bio58951	Actinosynnema mirum	Actinosynnema	Pseudonocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Aerococcus urinae ACS-120-V-Col10a	PRJNA64757	2024	1726	2.0810	41.9	4	99.71	bio64757	Aerococcus urinae	Aerococcus	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	
Aeromonas hydrophila subsp. hydrophila ATCC 7966	PRJNA58617	4286	4121	4.7445	61.5	10	99.80	bio58617	Aeromonas hydrophila	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	
Aeromonas salmonicida subsp. salmonicida A449	PRJNA58631	4739	4436	5.0405	58.1696	9	99.73	bio58631	Aeromonas salmonicida	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	
Aeromonas veronii B565	PRJNA66323	4170	4028	4.5518	58.7	10	99.75	bio66323	Aeromonas veronii	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	
Aggregatibacter actinomycetemcomitans ANH9381	PRJNA80743	2142	2058	2.1368	44.4	6	99.89	bio80743	Aggregatibacter actinomycetemcomitans	Aggregatibacter	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	
Aggregatibacter actinomycetemcomitans D11S-1	PRJNA41333	2353	2280	2.2047	44.3298	6	99.83	bio41333	Aggregatibacter actinomycetemcomitans	Aggregatibacter	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	
Aggregatibacter aphrophilus NJ8700	PRJNA59407	2336	2219	2.3130	42.2	6	99.81	bio59407	Aggregatibacter aphrophilus	Aggregatibacter	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	
Agrobacterium radiobacter K84	PRJNA58269	6820	6684	7.2733	59.8671	3	99.78	bio58269	Agrobacterium radiobacter	Agrobacterium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Agrobacterium tumefaciens str. C58	PRJNA57865	5459	5355	5.6743	59.0606	4	99.83	bio57865	Agrobacterium tumefaciens	Agrobacterium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Agrobacterium vitis S4	PRJNA58249	5559	5389	6.3209	57.4965	4	99.83	bio58249	Agrobacterium vitis	Agrobacterium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Acholeplasma laidlawii PG-8A	PRJNA58901	1433	1380	1.4970	31.9	2	99.67	bio58901	Acholeplasma laidlawii	Acholeplasma	Acholeplasmataceae	Acholeplasmatales	Mollicutes	Tenericutes	
Achromobacter xylosoxidans A8	PRJNA59899	6894	6815	7.3591	65.791	3	99.78	bio59899	Achromobacter xylosoxidans	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Akkermansia muciniphila ATCC BAA-835	PRJNA58985	2240	2138	2.6641	55.8	3	99.78	bio58985	Akkermansia muciniphila	Akkermansia	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	
Alcanivorax borkumensis SK2	PRJNA58169	2806	2755	3.1201	54.7	3	99.79	bio58169	Alcanivorax borkumensis	Alcanivorax	Alcanivoracaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	
Alicycliphilus denitrificans BC	PRJNA49953	4709	4542	4.8357	67.9887	3	100.00	bio49953	Alicycliphilus denitrificans	Alicycliphilus	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Alicycliphilus denitrificans K601	PRJNA66307	4899	4696	5.0708	67.9137	3	99.78	bio66307	Alicycliphilus denitrificans	Alicycliphilus	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	PRJNA59199	3235	3084	3.2057	61.8577	6	99.62	bio59199	Alicyclobacillus acidocaldarius	Alicyclobacillus	Alicyclobacillaceae	Bacillales	Bacilli	Firmicutes	
Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1	PRJNA158681	3297	3208	3.1241	61.5	6	99.16	bio15868	Alicyclobacillus acidocaldarius	Alicyclobacillus	Alicyclobacillaceae	Bacillales	Bacilli	Firmicutes	
Aliivibrio salmonicida LFI1238	PRJNA59251	4421	3911	4.6557	38.9398	12	99.60	bio59251	Aliivibrio salmonicida	Aliivibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	
Alkalilimnicola ehrlichii MLHE-1	PRJNA58467	2940	2865	3.2759	67.5	2	99.94	bio58467	Alkalilimnicola ehrlichii	Alkalilimnicola	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Proteobacteria	
Alkaliphilus metalliredigens QYMF	PRJNA58171	4940	4625	4.9296	36.8	10	99.82	bio58171	Alkaliphilus metalliredigens	Alkaliphilus	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Alkaliphilus oremlandii OhILAs	PRJNA58495	2990	2836	3.1236	36.3	8	99.80	bio58495	Alkaliphilus oremlandii	Alkaliphilus	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Allochromatium vinosum DSM 180	PRJNA46083	3366	3220	3.6691	64.2117	3	99.74	bio46083	Allochromatium vinosum	Allochromatium	Chromatiaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	
Alteromonas macleodii str. 'Deep ecotype'	PRJNA58251	4141	4084	4.4490	44.9	3	99.22	bio58251	Alteromonas macleodii	Alteromonas	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Aminobacterium colombiense DSM 12261	PRJNA47083	1972	1876	1.9806	45.3	3	100.00	bio47083	Aminobacterium colombiense	Aminobacterium	Synergistaceae	Synergistales	Synergistia	Synergistetes	
Ammonifex degensii KC4	PRJNA41053	2239	2080	2.1571	59.4168	2	99.69	bio41053	Ammonifex degensii	Ammonifex	Thermoanaerobacteraceae	Thermoanaerobacterales	Clostridia	Firmicutes	
Amycolatopsis mediterranei S699	PRJNA158689	9639	9575	10.2368	71.3	4	99.71	bio15868	Amycolatopsis mediterranei	Amycolatopsis	Pseudonocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Amycolatopsis mediterranei U32	PRJNA50565	9292	9228	10.2367	71.3	4	99.67	bio50565	Amycolatopsis mediterranei	Amycolatopsis	Pseudonocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Amycolicicoccus subflavus DQS3-9A1	PRJNA67253	4772	4705	4.8635	62.1997	3	99.61	bio67253	Amycolicicoccus subflavus	Amycolicicoccus	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Anabaena variabilis ATCC 29413	PRJNA58043	5813	5710	7.1058	41.3911	4	99.78	bio58043	Anabaena variabilis	Anabaena	Nostocaceae	Nostocales	other Cyanobacteria	Cyanobacteria	
Anaerococcus prevotii DSM 20548	PRJNA59219	1916	1806	1.9986	35.6663	4	98.92	bio59219	Anaerococcus prevotii	Anaerococcus	Clostridiales Family XI. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	
Anaerolinea thermophila UNI-1	PRJNA62245	3235	3166	3.5324	53.8	2	99.53	bio62245	Anaerolinea thermophila	Anaerolinea	Anaerolineaceae	Anaerolineales	Anaerolineae	Chloroflexi	
Anaeromyxobacter dehalogenans 2CP-1	PRJNA58989	4573	4473	5.0293	74.7	2	99.61	bio58989	Anaeromyxobacter dehalogenans	Anaeromyxobacter	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	
Anaeromyxobacter dehalogenans 2CP-C	PRJNA58135	4419	4346	5.0135	74.9	2	99.68	bio58135	Anaeromyxobacter dehalogenans	Anaeromyxobacter	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	
Anaplasma centrale str. Israel	PRJNA42155	982	923	1.2068	50	1	n.d.	bio42155	Anaplasma centrale	Anaplasma	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	
Anaplasma marginale str. Florida	PRJNA58577	995	940	1.2024	49.8	1	n.d.	bio58577	Anaplasma marginale	Anaplasma	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	
Anaplasma marginale str. St. Maries	PRJNA57629	1004	948	1.1977	49.8	1	n.d.	bio57629	Anaplasma marginale	Anaplasma	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	
Anaplasma phagocytophilum HZ	PRJNA57951	1411	1264	1.4713	41.6	1	n.d.	bio57951	Anaplasma phagocytophilum	Anaplasma	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	
Anoxybacillus flavithermus WK1	PRJNA59135	2954	2831	2.8468	41.8	8	99.65	bio59135	Anoxybacillus flavithermus	Anoxybacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Aquifex aeolicus VF5	PRJNA57765	1611	1560	1.5908	43.3239	2	99.69	bio57765	Aquifex aeolicus	Aquifex	Aquificaceae	Aquificales	Aquificae	Aquificae	
Arcanobacterium haemolyticum DSM 20595	PRJNA49489	1885	1731	1.9862	53.1	4	99.65	bio49489	Arcanobacterium haemolyticum	Arcanobacterium	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Arcobacter butzleri ED-1	PRJNA158699	2226	2158	2.2567	27.1	5	99.87	bio15869	Arcobacter butzleri	Arcobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Arcobacter butzleri RM4018	PRJNA58557	2333	2259	2.3413	27	5	99.87	bio58557	Arcobacter butzleri	Arcobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Arcobacter nitrofigilis DSM 7299	PRJNA49001	3220	3126	3.1922	28.4	4	99.75	bio49001	Arcobacter nitrofigilis	Arcobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Aromatoleum aromaticum EbN1	PRJNA58231	4653	4579	4.7273	64.6764	4	99.83	bio58231	Aromatoleum aromaticum	Aromatoleum	Rhodocyclaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria	
Arthrobacter arilaitensis Re117	PRJNA53509	3771	3436	3.9182	59.2853	6	99.98	bio53509	Arthrobacter arilaitensis	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Arthrobacter aurescens TC1	PRJNA58109	4780	4588	5.2267	62.3869	6	99.82	bio58109	Arthrobacter aurescens	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Arthrobacter chlorophenolicus A6	PRJNA58969	4745	4590	4.9809	65.9781	5	99.80	bio58969	Arthrobacter chlorophenolicus	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Arthrobacter phenanthrenivorans Sphe3	PRJNA63629	4274	4131	4.5353	65.3822	4	99.78	bio63629	Arthrobacter phenanthrenivorans	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Arthrospira platensis NIES-39	PRJDA42161	6676	6630	6.7884	44.3	2	100.00	bio42161	Arthrospira platensis	Arthrospira	other Oscillatoriales	Oscillatoriales	other Cyanobacteria	Cyanobacteria	
Asticcacaulis excentricus CB 48	PRJNA55641	3921	3763	4.3088	59.5298	3	99.77	bio55641	Asticcacaulis excentricus	Asticcacaulis	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	
Atopobium parvulum DSM 20469	PRJNA59195	1422	1353	1.5438	45.7	1	n.d.	bio59195	Atopobium parvulum	Atopobium	Coriobacteriaceae	Coriobacteriales	Actinobacteria	Actinobacteria	
Azorhizobium caulinodans ORS 571	PRJNA58905	4782	4717	5.3698	67.3	3	99.78	bio58905	Azorhizobium caulinodans	Azorhizobium	Xanthobacteraceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	
Azospirillum lipoferum 4B	PRJNA82343	6349	6094	6.8464	67.6703	2	98.85	bio82343	Azospirillum lipoferum	Azospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	
Azotobacter vinelandii DJ	PRJNA57597	5223	5050	5.3653	65.7	6	99.80	bio57597	Azotobacter vinelandii	Azotobacter	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	
Bacillus amyloliquefaciens	PRJNA84215	3948	3823	4.0199	46.5	10	99.81	bio84215	Bacillus amyloliquefaciens	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus amyloliquefaciens DSM 7	PRJNA53535	4044	3893	3.9802	46.1	10	99.85	bio53535	Bacillus amyloliquefaciens	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus amyloliquefaciens FZB42	PRJNA58271	3813	3693	3.9186	46.5	9	99.71	bio58271	Bacillus amyloliquefaciens	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus amyloliquefaciens IT-45	PRJNA73591	4023	3907	3.9324	46.6	8	99.82	bio73591	Bacillus amyloliquefaciens	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus amyloliquefaciens LL3	PRJNA158133	4355	4228	4.0020	45.6938	7	99.78	bio15813	Bacillus amyloliquefaciens	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus amyloliquefaciens TA208	PRJNA158701	4177	4089	3.9375	45.8	6	99.73	bio15870	Bacillus amyloliquefaciens	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus amyloliquefaciens XH7	PRJNA158881	4286	4190	3.9392	45.8	7	99.66	bio15888	Bacillus amyloliquefaciens	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus anthracis str. A0248	PRJNA59385	6043	5292	5.5039	35.2629	11	99.78	bio59385	Bacillus anthracis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus anthracis str. Ames	PRJNA57909	5636	5328	5.2273	35.4	11	99.78	bio57909	Bacillus anthracis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus anthracis str. 'Ames Ancestor'	PRJNA58083	5901	5484	5.5039	35.2629	11	99.78	bio58083	Bacillus anthracis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus anthracis str. CDC 684	PRJNA59303	6042	5902	5.5068	35.2646	11	99.65	bio59303	Bacillus anthracis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus anthracis str. H9401	PRJNA49361	5917	5791	5.4955	35.2644	10	99.78	bio49361	Bacillus anthracis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus anthracis str. Sterne	PRJNA58091	5417	5289	5.2287	35.4	11	99.78	bio58091	Bacillus anthracis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus atrophaeus 1942	PRJNA59887	4282	4186	4.1683	43.2	7	99.82	bio59887	Bacillus atrophaeus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus cellulosilyticus DSM 2522	PRJNA43329	4444	4266	4.6817	36.5	10	99.65	bio43329	Bacillus cellulosilyticus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus cereus 03BB102	PRJNA59299	5775	5606	5.4493	35.2945	14	99.87	bio59299	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus cereus AH187	PRJNA58753	5961	5783	5.5999	35.5213	14	99.73	bio58753	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus cereus AH820	PRJNA58751	5949	5810	5.5888	35.3086	12	99.76	bio58751	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus cereus ATCC 10987	PRJNA57673	6013	5843	5.4327	35.5156	12	99.87	bio57673	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus cereus ATCC 14579	PRJNA57975	5502	5255	5.4271	35.3076	13	99.88	bio57975	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus cereus B4264	PRJNA58757	5564	5398	5.4190	35.3	14	99.89	bio58757	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus cereus biovar anthracis str. CI	PRJNA50615	5733	5558	5.4866	35.2707	11	99.75	bio50615	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus cereus E33L	PRJNA58103	5796	5641	5.8432	35.1687	13	99.80	bio58103	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus cereus F837/76	PRJNA83611	5609	5468	5.2885	35.4	12	99.77	bio83611	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus cereus G9842	PRJNA58759	6001	5857	5.7368	35.0479	13	99.80	bio58759	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus cereus NC7401	PRJNA82815	5900	5754	5.5520	35.5372	14	99.70	bio82815	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus cereus Q1	PRJNA58529	5622	5489	5.5062	35.504	13	99.83	bio58529	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus clausii KSM-K16	PRJNA58237	4204	4096	4.3039	44.8	7	99.44	bio58237	Bacillus clausii	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus coagulans 2-6	PRJNA68053	3052	2971	3.0731	47.3	7	99.57	bio68053	Bacillus coagulans	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus coagulans 36D1	PRJNA54335	3420	3290	3.5522	46.5	10	99.24	bio54335	Bacillus coagulans	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
Bacillus cytotoxicus NVH 391-98	PRJNA58317	4176	3844	4.0942	35.8902	13	99.79	bio58317	Bacillus cytotoxicus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	
